ID,Name,Original_Name,Melakarta_No,Melakarta_Name,Chakra_No,Chakra_Name,Arohana,Avarohana,Scale_Type,Is_Bhashanga,Anya_Swaras,Is_Vakra,Extra_Note,Wikipedia_URL
"kanakambari","Kanakambari","Kanakāmbari",1,"Kanakangi",1,"Indu (Moon)","S R1 M1 P D1 S'","S' N1 D1 P M1 G1 R1 S","Audava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/Kanakambari"
"kanakatodi","Kanakatodi","Kanakatodi",1,"Kanakangi",1,"Indu (Moon)","S R1 G1 M1 P D1 S'","S' N1 D1 P M1 R1 S","Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"madhavapriya","Madhavapriya","Mādhavapriyā",1,"Kanakangi",1,"Indu (Moon)","S R1 G1 P D1 N1 S'","S' N1 D1 P G1 R1 S","Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"karnataka-shuddha-saveri","Karnataka Shuddha Saveri","Karnātaka Shuddha Sāveri",1,"Kanakangi",1,"Indu (Moon)","S R1 M1 P D1 S'","S' D1 P M1 R1 S","Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/Karnataka_Shuddha_Saveri"
"latantapriya","Latantapriya","Latantapriya",1,"Kanakangi",1,"Indu (Moon)","S R1 G1 M1 P D1 S'","S' D1 P M1 R1 S","Shadava-Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"lavangi","Lavangi","Lavangi",1,"Kanakangi",1,"Indu (Moon)","S R1 M1 D1 S'","S' D1 M1 R1 S","Swarantara",No,"",Yes,"Raga created by M. Balamuralikrishna","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"megha","Megha","Megha",1,"Kanakangi",1,"Indu (Moon)","S R1 M1 P D1 N1 D1 P S'","S' N1 D1 P M1 R1 S","Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"rishabhavilasa","Rishabhavilasa","Rishabhavilāsa",1,"Kanakangi",1,"Indu (Moon)","S R1 M1 P D1 S'","S' D1 P M1 R1 M1 R1 S","Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"sarvashree","Sarvashree","Sarvashree",1,"Kanakangi",1,"Indu (Moon)","S M1 P S'","S' P M1 S","Swarantara",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"suddha-mukhari","Suddha Mukhari","Suddha Mukhāri",1,"Kanakangi",1,"Indu (Moon)","S R1 M1 P D1 S'","S' N1 D1 P M1 G1 R1 S","Audava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"tatillatika","Tatillatika","Tatillatika",1,"Kanakangi",1,"Indu (Moon)","S R1 M1 P D1 S'","S' D1 P M1 R1 S","Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"vageeshwari","Vageeshwari","Vāgeeshwari",1,"Kanakangi",1,"Indu (Moon)","S R1 G1 M1 P D1 S'","S' D1 M1 P G1 R1 S","Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"phenadhyuti","Phenadhyuti","Phenadhyuti",2,"Ratnangi",1,"Indu (Moon)","S R1 M1 P D1 P N2 S'","S' N2 D1 P M1 G1 R1 S","Shadava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"ganamukhari","Ganamukhari","Ganamukhāri",2,"Ratnangi",1,"Indu (Moon)","S R1 M1 D1 S'","S' N2 D1 M1 R1 S","Swarantara-Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"ratnavarali","Ratnavarali","Ratnavarāli",2,"Ratnangi",1,"Indu (Moon)","S R1 M1 P N2 D1 S'","S' N2 P M1 R1 G1 R1 S","Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"revati","Revati","Revati",2,"Ratnangi",1,"Indu (Moon)","S R1 M1 P N2 S'","S' N2 P M1 R1 S","Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/Revati_(raga)"
"shreemani","Shreemani","Shreemani",2,"Ratnangi",1,"Indu (Moon)","S R1 G1 P D1 S'","S' N2 D1 P G1 R1 S","Audava-Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"shreemati","Shreemati","Shreemati",2,"Ratnangi",1,"Indu (Moon)","S R1 G1 P D1 S'","S' N2 D1 P G1 R1 S","Audava-Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"svadhya","Svadhya","Svadhya",2,"Ratnangi",1,"Indu (Moon)","S R1 M1 P N2 S'","S' N2 D1 P M1 R1 S","Audava-Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/Svadhya"
"ganasamavarali","Ganasamavarali","Gānasāmavarāli",3,"Ganamurti",1,"Indu (Moon)","S R1 M1 P D1 N3 S'","S' N3 D1 P M1 G1 R1 S","Shadava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"bhinnapanchamam","Bhinnapanchamam","Bhinnapanchamam",3,"Ganamurti",1,"Indu (Moon)","S R1 G1 M1 P D1 N3 S'","S' N3 D1 P M1 G1 R1 S","Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"nadharanjani","Nadharanjani","Nādharanjani",3,"Ganamurti",1,"Indu (Moon)","S R1 M1 D1 N3 S'","S' N3 D1 M1 G1 R1 S","Audava-Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"poorvavarali","Poorvavarali","Poorvavarāli",3,"Ganamurti",1,"Indu (Moon)","S R1 M1 P D1 S'","S' N3 D1 P M1 G1 R1 S","Audava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"samavarali","Samavarali","Sāmavarāli",3,"Ganamurti",1,"Indu (Moon)","S R1 M1 P D1 N3 S'","S' N3 D1 P M1 G1 R1 G1 S","Shadava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"bhanumati","Bhanumati","Bhānumati",4,"Vanaspati",1,"Indu (Moon)","N2 S M1 P N2 S'","S' N2 D2 P M1 G2 R2 S","Swarantara-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"rasali","Rasali","Rasāli",4,"Vanaspati",1,"Indu (Moon)","S R1 M1 P D2 N2 S'","S' D2 P M1 R1 S","Shadava-Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"vanavali","Vanavali","Vanāvali",4,"Vanaspati",1,"Indu (Moon)","S R1 M1 P D2 N2 S'","S' D2 P M1 R1 S","Shadava-Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"vittalapriya","Vittalapriya","Vittalapriya",4,"Vanaspati",1,"Indu (Moon)","S R1 M1 P D2 S'","S' D2 P M1 R1 S","Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"manoranjani","Manoranjani","Manoranjani",5,"Manavati",1,"Indu (Moon)","S R1 M1 P D2 N3 S'","S' N3 D2 P M1 G1 R1 S","Shadava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"ghanashyamala","Ghanashyamala","Ghanashyāmalā",5,"Manavati",1,"Indu (Moon)","S G1 M1 P D2 S'","S' D2 N3 P M1 G1 R1 S","Audava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"kunjari","Kunjari","Kunjari",5,"Manavati",1,"Indu (Moon)","S R1 M1 P D2 P S'","S' N3 D2 P M1 G1 R1 S","Audava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"tanukeerti","Tanukeerti","Tanukeerti",6,"Tanarupi",1,"Indu (Moon)","S R1 M1 P N3 S'","S' N3 D3 N3 P M1 G1 M1 R1 S","Audava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"senagrani","Senagrani","Senāgrani",7,"Senavati",2,"Netra (Eyes)","S R1 G2 R1 M1 G2 M1 P N1 D1 S'","S' N1 D1 P M1 G2 M1 G2 R1 S","Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"bhogi","Bhogi","Bhogi",7,"Senavati",2,"Netra (Eyes)","S G2 M1 P D1 N1 D1 S'","S' N1 D1 P M1 G2 S","Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"chitthakarshani","Chitthakarshani","Chitthakarshani",7,"Senavati",2,"Netra (Eyes)","S R1 G2 M1 D1 S'","S' D1 M1 G2 R1 S","Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"navarasa-mala","Navarasa Mala","Navarasa Mālā",7,"Senavati",2,"Netra (Eyes)","S R1 G2 M1 P D1 S'","S' N1 D1 P M1 R1 S","Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"sindhu-gowri","Sindhu Gowri","Sindhu Gowri",7,"Senavati",2,"Netra (Eyes)","S R1 G2 M1 P D1 N1 S'","S' N1 D1 M1 G2 M1 R1 S","Sampurna-Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"janatodi","Janatodi","Janatodi",8,"Hanumatodi",2,"Netra (Eyes)","S R1 G2 M1 P D1 N2 S'","S' N2 D1 P M1 G2 R1 S","Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"ahiri","Ahiri","Āhiri",8,"Hanumatodi",2,"Netra (Eyes)","S R1 S G3 M1 P D1 N2 S'","S' N2 D1 P M1 G3 R1 S","Sampurna",Yes,"R2 G2 / G3 D2 N3",Yes,"","https://en.wikipedia.org/wiki/Ahiri"
"amrita-dhanyasi","Amrita Dhanyasi","Amrita Dhanyāsi",8,"Hanumatodi",2,"Netra (Eyes)","S R1 G2 M1 P N2 S'","S' N2 P M1 G2 R1 S","Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"asaveri","Asaveri","Asāveri",8,"Hanumatodi",2,"Netra (Eyes)","S R1 M1 P D1 S'","S' N2 S P D1 M1 P R1 G2 R1 S","Audava-Sampurna",Yes,"R2",Yes,"","https://en.wikipedia.org/wiki/Asaveri"
"bhanuchandrika","Bhanuchandrika","Bhānuchandrika",8,"Hanumatodi",2,"Netra (Eyes)","S M1 D1 N2 S'","S' N2 D1 M1 G1 S","Swarantara-Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"bhadratodi","Bhadratodi","Bhadratodi",8,"Hanumatodi",2,"Netra (Eyes)","S R1 G2 M1 D1 S'","S' N2 D1 P G2 S","Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"bhoopalam","Bhoopalam","Bhoopālam",8,"Hanumatodi",2,"Netra (Eyes)","S R1 G2 P D1 S'","S' D1 P G2 R1 S","Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/Bhupalam"
"chandrikatodi","Chandrikatodi","Chandrikatodi",8,"Hanumatodi",2,"Netra (Eyes)","S G2 M1 P D1 S'","S' D1 P M1 G2 S","Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"deshikatodi","Deshikatodi","Deshikatodi",8,"Hanumatodi",2,"Netra (Eyes)","S G2 M1 P D1 N2 S'","S' N2 D1 P M1 G2 R1 S","Shadava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"dhanyasi","Dhanyasi","Dhanyāsi",8,"Hanumatodi",2,"Netra (Eyes)","S G2 M1 P N2 S'","S' N2 D1 P M1 G2 R1 S","Audava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"divyamalati","Divyamalati","Divyamālati",8,"Hanumatodi",2,"Netra (Eyes)","S G2 M1 P D1 N2 S'","S' N2 D1 P M1 G2 S","Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"ghanta","Ghanta","Ghanta",8,"Hanumatodi",2,"Netra (Eyes)","S G2 R2 M1 P N2 S'","S' N2 D1 P M1 G2 R1 S","Shadava-Sampurna",Yes,"R2 D2",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"kalasaveri","Kalasaveri","Kalāsāveri",8,"Hanumatodi",2,"Netra (Eyes)","S R1 G2 P N2 S'","S' N2 P G2 R1 S","Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"kanakasaveri","Kanakasaveri","Kanakasāveri",8,"Hanumatodi",2,"Netra (Eyes)","S R1 M1 P D1 S'","S' N2 D1 P M1 G2 R1 S","Audava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"nagavarali","Nagavarali","Nāgavarāli",8,"Hanumatodi",2,"Netra (Eyes)","S R1 G2 M1 P M1 D1 N2 S'","S' N2 D1 P M1 G2 R1 S","Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"prabhupriya","Prabhupriya","Prabhupriya",8,"Hanumatodi",2,"Netra (Eyes)","S G2 M1 P D1 S'","S' D1 P M1 G2 S","Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"punnagatodi","Punnagatodi","Punnāgatodi",8,"Hanumatodi",2,"Netra (Eyes)","N1 S R1 G2 M1 P","P M1 G2 R1 S N2 D1","Shadava-Sampurna",No,"",No,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"punnagavarali","Punnagavarali","Punnagavarali",8,"Hanumatodi",2,"Netra (Eyes)","N2 S R1 G2 M1 P D1 N2","N2 D1 P M1 G2 R1 S N2","Sampurna",Yes,"R2",Yes,"","https://en.wikipedia.org/wiki/Punnagavarali"
"shravanamallika","Shravanamallika","Shravanamallika",8,"Hanumatodi",2,"Netra (Eyes)","S G2 M1 P D1 N2 S'","S' N2 D1 P M1 G2 R1 S","Shadava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"sowjanya","Sowjanya","Sowjanya",8,"Hanumatodi",2,"Netra (Eyes)","S R1 M1 D1 S'","S' D1 M1 R1 S","Swarantara",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"shuddha-seemantini","Shuddha Seemantini","Shuddha Seemantini",8,"Hanumatodi",2,"Netra (Eyes)","S R1 G2 M1 P D1 S'","S' D1 P M1 G2 R1 S","Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"shuddha-todi","Shuddha Todi","Shuddha Todi",8,"Hanumatodi",2,"Netra (Eyes)","S R1 G2 M1 D1 N2 S'","S' N2 D1 M1 G2 R1 S","Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"sindhubhairavi","Sindhubhairavi","Sindhubhairavi",8,"Hanumatodi",2,"Netra (Eyes)","S R2 G2 M1 G2 P D1 N2 S","N2 D1 P M1 G2 R1 S N2 S","Sampurna",Yes,"R2 G3 M2 D2 N3",Yes,"","https://en.wikipedia.org/wiki/Sindhu_Bhairavi_(raga)"
"srimati","Srimati","Srimati",8,"Hanumatodi",2,"Netra (Eyes)","S G2 R1 G2 M1 P D1 P D2 N2 S'","S' N2 D1 P M1 P M1 G2 R1 S","Sampurna",Yes,"D2",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"swarnamalli","Swarnamalli","Swarnamalli",8,"Hanumatodi",2,"Netra (Eyes)","S G2 M1 P D1 N1 S'","S' N2 D1 P M1 G2 R1 S","Shadava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"dhunibhinnashadjam","Dhunibhinnashadjam","Dhunibhinnashadjam",9,"Dhenuka",2,"Netra (Eyes)","S R1 G2 R1 P M1 P N3 S'","S' D1 P M1 G2 R1 S","Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"bhinnashadjam","Bhinnashadjam","Bhinnashadjam",9,"Dhenuka",2,"Netra (Eyes)","S R1 G2 R1 P M1 P N3 S'","S' D1 P M1 G2 R1 S","Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"mohananata","Mohananata","Mohananāta",9,"Dhenuka",2,"Netra (Eyes)","S G2 M1 P D1 P M1 P N3 S'","S' N3 P D1 P M1 G2 S","Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"udayaravichandrika","Udayaravichandrika","Udayaravichandrika",9,"Dhenuka",2,"Netra (Eyes)","S G2 M1 P N3 S'","S' N3 P M1 G2 S","Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"vasanthatodi","Vasanthatodi","Vasanthatodi",9,"Dhenuka",2,"Netra (Eyes)","S R1 G2 M1 D1 N3 S'","S' N3 D1 M1 R1 S","Shadava-Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"natabharanam","Natabharanam","Natābharanam",10,"Natakapriya",2,"Netra (Eyes)","S R1 G2 M1 P D2 N2 S'","S' N2 D2 P M1 G2 R1 S","Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"alankarapriya","Alankarapriya","Alankārapriya",10,"Natakapriya",2,"Netra (Eyes)","S R1 G2 M1 D2 N2 S'","S' N2 D2 M1 G2 R1 S","Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"bhagyashabari","Bhagyashabari","Bhāgyashabari",10,"Natakapriya",2,"Netra (Eyes)","S R1 G2 M1 D2 N2 S'","S' N2 D2 M1 G2 R1 S","Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"deeparamu","Deeparamu","Deeparamu",10,"Natakapriya",2,"Netra (Eyes)","S R1 G2 M1 P D2 N2 S'","S' N2 D2 N2 P M1 G2 R1 S","Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"gunavati","Gunavati","Gunāvati",10,"Natakapriya",2,"Netra (Eyes)","S R1 M1 P D2 S","S D2 P M1 R1 S","Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"hindoladeshikam","Hindoladeshikam","Hindoladeshikam",10,"Natakapriya",2,"Netra (Eyes)","S M1 R1 G2 M1 P D2 N2 S'","S' P N2 D2 M1 G2 R1 S","Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"kanakadri","Kanakadri","Kanakadri",10,"Natakapriya",2,"Netra (Eyes)","S R1 G2 P D2 S'","S' N2 D2 P M1 G2 R1 S","Audava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"matangakamini","Matangakamini","Mātangakāmini",10,"Natakapriya",2,"Netra (Eyes)","S G2 M1 P D1 N2 S'","S' N2 D1 P M1 G2 S","Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"natyadharana","Natyadharana","Nātyadhārana",10,"Natakapriya",2,"Netra (Eyes)","S R1 M1 P D2 S'","S' N2 D2 P M1 R1 S","Audava-Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"niranjana","Niranjana","Niranjana",10,"Natakapriya",2,"Netra (Eyes)","S R1 G2 M1 P D2 S'","S' N2 D2 P M1 G2 R1 S","Shadava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"shanthabhashini","Shanthabhashini","Shānthabhāshini",10,"Natakapriya",2,"Netra (Eyes)","S R1 G2 M1 P D2 S'","S' N2 D2 P M1 S","Shadava-Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"shivashakti","Shivashakti","Shivashakti",10,"Natakapriya",2,"Netra (Eyes)","S G2 M1 D2 S'","S' N2 D2 M1 G2 S","Swarantara-Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"kokilaravam","Kokilaravam","Kokilāravam",11,"Kokilapriya",2,"Netra (Eyes)","S R1 M1 P D2 N3 S'","S' N3 D2 P M1 G2 R2 S","Shadava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"bhimsen","Bhimsen","Bhimsen",11,"Kokilapriya",2,"Netra (Eyes)","S G2 M1 P N3 S'","S' N3 D2 P M1 G2 R1 S","Audava-Sampurna",No,"",Yes,"Raga created by Mahesh Mahadev","https://en.wikipedia.org/wiki/Bhimsen_(raga)"
"bhakthirasa","Bhakthirasa","Bhakthirasa",11,"Kokilapriya",2,"Netra (Eyes)","S G2 M1 P N3 S'","S' N3 P M1 G2 S","Audava",No,"",Yes,"Raga created by Rishabh Jagadeesh","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"chitramani","Chitramani","Chitramani",11,"Kokilapriya",2,"Netra (Eyes)","S R1 M1 P D2 N3 S'","S' N3 D2 P M1 G2 R1 S","Shadava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"jnanachintamani","Jnanachintamani","Jnānachintāmani",11,"Kokilapriya",2,"Netra (Eyes)","S R1 M1 D2 N3 S'","S' N3 D2 P M1 R1 S","Audava-Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"kowmari","Kowmari","Kowmāri",11,"Kokilapriya",2,"Netra (Eyes)","S R1 G2 M1 P D2 S'","S' N3 D2 P M1 G2 R1 S","Shadava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"shuddha-lalitha","Shuddha Lalitha","Shuddha Lalitha",11,"Kokilapriya",2,"Netra (Eyes)","S P M1 D2 N3 S'","S' N3 S D2 P M1 G2 R1 S","Audava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"vardhani","Vardhani","Vardhani",11,"Kokilapriya",2,"Netra (Eyes)","S G2 M1 P M1 P D2 N3 S'","S' N3 D2 P M1 G2 R1 S","Shadava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"vasantamalli","Vasantamalli","Vasantamalli",11,"Kokilapriya",2,"Netra (Eyes)","S G2 M1 P N3 S'","S' D2 P M1 G2 S","Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"vasantanarayani","Vasantanarayani","Vasantanārāyani",11,"Kokilapriya",2,"Netra (Eyes)","S R1 G2 M1 P S'","S' N3 D2 P M1 G2 R1 S","Audava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"rowpyanaka","Rowpyanaka","Rowpyanaka",12,"Rupavati",2,"Netra (Eyes)","S M1 P D3 N3 S'","S' N3 P M1 G2 R1 S","Audava-Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"shyamakalyani","Shyamakalyani","Shyāmakalyāni",12,"Rupavati",2,"Netra (Eyes)","S M1 G2 M1 P D3 N3 S'","S' N3 P D3 N3 P M1 G2 R1 S","Shadava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"geya-hejjajji","Geya Hejjajji","Geya Hejjajji",13,"Gayakapriya",3,"Agni (Fire)","S R1 M1 G3 M1 P D1 S'","S' N3 D1 P M1 G3 R1 S","Shadava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"hejjajji","Hejjajji","Hejjajji",13,"Gayakapriya",3,"Agni (Fire)","S R1 G3 M1 P D1 S'","S' N1 D1 P M1 G3 R1 S","Shadava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"kalakanti","Kalakanti","Kalākānti",13,"Gayakapriya",3,"Agni (Fire)","S R1 G3 M1 D1 N1 S'","S' N1 D1 P G3 R1 S","Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"kalkada","Kalkada","Kalkada",13,"Gayakapriya",3,"Agni (Fire)","S R1 G3 P D1 N1 S S R1 G3 P D1 S'","S' N1 D1 P G3 R1 S","Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"kalpanadharini","Kalpanadharini","Kalpanadhārini",13,"Gayakapriya",3,"Agni (Fire)","S G3 M1 P D1 S'","S' N1 D1 P M1 G3 R1 S","Audava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"ahiri-m14","Ahiri","Āhiri",14,"Vakulabharanam",3,"Agni (Fire)","S R1 S G3 M1 P D1 N2 S'","S' N2 D1 P M1 G3 R1 S","Sampurna",Yes,"R2 G2 / G3 D2 N3",Yes,"","https://en.wikipedia.org/wiki/Ahiri"
"vatee-vasantabhairavi","Vatee Vasantabhairavi","Vātee Vasantabhairavi",14,"Vakulabharanam",3,"Agni (Fire)","S R1 G3 M1 D1 N2 S'","S' N2 D1 M1 G3 R1 S","Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"amudhasurabhi","Amudhasurabhi","Amudhasurabhi",14,"Vakulabharanam",3,"Agni (Fire)","S M1 G3 M1 P D1 S'","S' N2 D1 P M1 R1 S","Audava-Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"devipriya","Devipriya","Devipriya",14,"Vakulabharanam",3,"Agni (Fire)","S G3 P N2 S'","S' N2 D1 P M1 G3 R1 S","Swarantara-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"kalindaja","Kalindaja","Kalindaja",14,"Vakulabharanam",3,"Agni (Fire)","S R1 G3 M1 P N2 S'","S' N2 P M1 G3 R1 S","Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"kuvalayabharanam","Kuvalayabharanam","Kuvalayabharanam",14,"Vakulabharanam",3,"Agni (Fire)","S R1 G3 M1 D1 N1 S'","S' N1 D1 M1 G3 R1 S","Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"mukthipradayini","Mukthipradayini","Mukthipradayini",14,"Vakulabharanam",3,"Agni (Fire)","S R1 G3 P N2 S'","S' N2 P D1 P G3 R1 S","Audava-Shadava",No,"",Yes,"Raga created by Mahesh Mahadev","#cite_note-:0-4"
"sallapa","Sallapa","Sallapa",14,"Vakulabharanam",3,"Agni (Fire)","S G3 M1 D1 N2 S'","S' N2 D1 M1 G3 S","Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"soma","Soma","Soma",14,"Vakulabharanam",3,"Agni (Fire)","S R1 P M1 D1 N2 S'","S' N2 D1 M1 P M1 G3 R1 S","Shadava-Sampurna",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"surya","Surya","Sūryā",14,"Vakulabharanam",3,"Agni (Fire)","S G3 M1 D1 N2 S'","S' N2 D1 M1 G3 S","Audava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
"shuddha-kambhoji","Shuddha Kambhoji","Shuddha Kāmbhoji",14,"Vakulabharanam",3,"Agni (Fire)","S G3 R1 M1 P N2 S'","S' N2 P M1 G3 R1 S","Shadava",No,"",Yes,"","https://en.wikipedia.org/wiki/List_of_Janya_ragas"
