Song,Movie,Year,Raga,Musician,Lyricist,Singers,Song_ID,Movie_ID,Song_URL,Movie_URL
Paramapurusha Nin,Prahlaada,1941,Bhairavi,Vidwan VS Parthasarathy Ayyankar,K Madhava Warrier,-,2128,181,https://en.msidb.org/s.php?2128,https://en.msidb.org/m.php?181
Oro Kanavilum,Lottery Ticket,1970,Bhairavi,V Dakshinamoorthy,Sreekumaran Thampi,P Leela,14136,3262,https://en.msidb.org/s.php?14136,https://en.msidb.org/m.php?3262
Panchavadiyile,Ajnaatha Theerangal,1979,Bhairavi,MK Arjunan,Sreekumaran Thampi,KJ Yesudas,5108,226,https://en.msidb.org/s.php?5108,https://en.msidb.org/m.php?226
Nadannum Nadannere [Manthram Pole],Manassinte Theerthayaathra,1981,Bhairavi,MB Sreenivasan,ONV Kurup,KJ Yesudas,6012,576,https://en.msidb.org/s.php?6012,https://en.msidb.org/m.php?576
Sukhamo Devi,Prasnam Gurutharam,1983,Bhairavi,Raveendran,Bichu Thirumala,KJ Yesudas,13413,4749,https://en.msidb.org/s.php?13413,https://en.msidb.org/m.php?4749
Sukhamo Devi,Prasnam Gurutharam,1983,Bhairavi,Raveendran,Bichu Thirumala,S Janaki,13414,4749,https://en.msidb.org/s.php?13414,https://en.msidb.org/m.php?4749
Sukhamo Devi [Bit],Prasnam Gurutharam,1983,Bhairavi,Raveendran,Bichu Thirumala,KJ Yesudas,189853,4749,https://en.msidb.org/s.php?189853,https://en.msidb.org/m.php?4749
Pannagendra Shayana,Swaathy Thirunaal,1987,Bhairavi,MB Sreenivasan,Traditional (Swathi Thirunal),"M Balamuralikrishna, KJ Yesudas, Neyyatinkara Vasudevan",7121,252,https://en.msidb.org/s.php?7121,https://en.msidb.org/m.php?252
Shivamallikkaavil Koovalampoothu,Ananthabhadram,2005,Bhairavi,MG Radhakrishnan,Gireesh Puthenchery,KS Chithra,8382,1013,https://en.msidb.org/s.php?8382,https://en.msidb.org/m.php?1013
Aaro Mooliyoreenam,Mazhaneerthullikal,2016,Bhairavi,Ouseppachan,KV Mohankumar,Binni Krishnakumar,1954820,7456,https://en.msidb.org/s.php?1954820,https://en.msidb.org/m.php?7456
Devadundhubhi,Ennennum Kannettante,1986,Bheem Plaasi,Jerry Amaldev,Kaithapram,"KJ Yesudas, Sathish Babu, Sunanda",1466,4546,https://en.msidb.org/s.php?1466,https://en.msidb.org/m.php?4546
Aruthe Painkiliye,Amma,1952,Bheemplaas,V Dakshinamoorthy,P Bhaskaran,Janamma David,1601,4654,https://en.msidb.org/s.php?1601,https://en.msidb.org/m.php?4654
Thaamasamenthe Varuvan,Bhargaveenilayam,1964,Bheemplaas,MS Baburaj,P Bhaskaran,KJ Yesudas,376,3535,https://en.msidb.org/s.php?376,https://en.msidb.org/m.php?3535
Samayamaayilla Polum,Karuna,1966,Bheemplaas,G Devarajan,ONV Kurup,P Susheela,776,2903,https://en.msidb.org/s.php?776,https://en.msidb.org/m.php?2903
Thaamarakkumbilallo,Anweshichu Kandethiyilla,1967,Bheemplaas,MS Baburaj,P Bhaskaran,S Janaki,946,3101,https://en.msidb.org/s.php?946,https://en.msidb.org/m.php?3101
Velimalayil,Viplavakaarikal,1968,Bheemplaas,G Devarajan,Vayalar Ramavarma,"Kamukara Purushothaman, LR Eeswari",1040,3406,https://en.msidb.org/s.php?1040,https://en.msidb.org/m.php?3406
Thurannitta Jaalakangal,Dathuputhran,1970,Bheemplaas,G Devarajan,Vayalar Ramavarma,P Susheela,2282,3011,https://en.msidb.org/s.php?2282,https://en.msidb.org/m.php?3011
Kshethrapaalaka Kshamikkoo,Professor,1972,Bheemplaas,G Devarajan,Vayalar Ramavarma,P Madhuri,2687,220,https://en.msidb.org/s.php?2687,https://en.msidb.org/m.php?220
Thankappavan Kinnam,Ankathattu,1974,Bheemplaas,G Devarajan,Vayalar Ramavarma,P Madhuri,3202,4872,https://en.msidb.org/s.php?3202,https://en.msidb.org/m.php?4872
Vedana Vilichothi,Madhuram Thirumadhuram,1976,Bheemplaas,AT Ummer,Muppathu Ramachandran,S Janaki,4017,1425,https://en.msidb.org/s.php?4017,https://en.msidb.org/m.php?1425
Shilayaay Piraviyundenkil,Thattakam,1998,Bheemplaas,Kaithapram,Kaithapram,KJ Yesudas,12951,3172,https://en.msidb.org/s.php?12951,https://en.msidb.org/m.php?3172
Kannodu Kannoram,Veeraputhran,2011,Bheemplaas,Ramesh Narayan,Rafeeq Ahamed,Shreya Ghoshal,193083,6858,https://en.msidb.org/s.php?193083,https://en.msidb.org/m.php?6858
Naranaayingane,Newspaper Boy,1955,Bhoopalam,"A Vijayan, A Ramachandran",Traditional,P Gangadharan Nair,17734,5843,https://en.msidb.org/s.php?17734,https://en.msidb.org/m.php?5843
Shaarikappaithale,Shakunthala,1965,Bhoopalam,G Devarajan,Vayalar Ramavarma,P Susheela,573,3692,https://en.msidb.org/s.php?573,https://en.msidb.org/m.php?3692
Gopaalaka paahimam,Raakkuyilin Raagasadassil,1986,Bhoopalam,MG Radhakrishnan,Traditional (Swathi Thirunal),KJ Yesudas,7718,3047,https://en.msidb.org/s.php?7718,https://en.msidb.org/m.php?3047
Thaazhunna sooryane,Made In USA,2005,Bhoopalam,Vidyasagar,ONV Kurup,Sujatha Mohan,10906,1687,https://en.msidb.org/s.php?10906,https://en.msidb.org/m.php?1687
Athisukhamee Jeevitham,Balan,1938,Bihag,"KK Aroor, Ibrahim",Muthukulam Raghavan Pillai,KK Aroor,2104,1204,https://en.msidb.org/s.php?2104,https://en.msidb.org/m.php?1204
Bhakthaparaayana,Balan,1938,Bihag,"KK Aroor, Ibrahim",Muthukulam Raghavan Pillai,Uncategorized,14245,1204,https://en.msidb.org/s.php?14245,https://en.msidb.org/m.php?1204
Chethoharamaam madyapaanamathe,Balan,1938,Bihag,"KK Aroor, Ibrahim",Muthukulam Raghavan Pillai,Uncategorized,14239,1204,https://en.msidb.org/s.php?14239,https://en.msidb.org/m.php?1204
Lokam Anaswarame,Balan,1938,Bihag,"KK Aroor, Ibrahim",Muthukulam Raghavan Pillai,Sivanandan,2107,1204,https://en.msidb.org/s.php?2107,https://en.msidb.org/m.php?1204
Madanavilolane Naadha,Balan,1938,Bihag,"KK Aroor, Ibrahim",Muthukulam Raghavan Pillai,Uncategorized,14237,1204,https://en.msidb.org/s.php?14237,https://en.msidb.org/m.php?1204
Raghukula Nayakane,Balan,1938,Bihag,"KK Aroor, Ibrahim",Muthukulam Raghavan Pillai,MK Kamalam,2101,1204,https://en.msidb.org/s.php?2101,https://en.msidb.org/m.php?1204
Vishaadam Thingum,Jnaanaambika,1940,Bihag,TK Jayarama Iyer,Puthankavu Mathan Tharakan,KK Aroor,2119,3911,https://en.msidb.org/s.php?2119,https://en.msidb.org/m.php?3911
Anitharavahithamahitha,Sthree,1950,Bihag,BA Chidambaranath,Thikkurissi Sukumaran Nair,Uncategorized,1531,817,https://en.msidb.org/s.php?1531,https://en.msidb.org/m.php?817
Praanante Praananil,Ammaye Kaanaan,1963,Bihag,K Raghavan,P Bhaskaran,P Leela,267,2516,https://en.msidb.org/s.php?267,https://en.msidb.org/m.php?2516
Lalithalavanga,Adimakal,1969,Bihag,G Devarajan,Traditional (Jayadevar),P Leela,1302,2774,https://en.msidb.org/s.php?1302,https://en.msidb.org/m.php?2774
Maayaanadanavihaarini,Kumaarasambhavam,1969,Bihag,G Devarajan,ONV Kurup,"P Leela, Radha Jayalakshmi",1401,557,https://en.msidb.org/s.php?1401,https://en.msidb.org/m.php?557
Aa Thrisandhyathan,Thiruvonam,1975,Bihag,MK Arjunan,Sreekumaran Thampi,"KJ Yesudas, Chorus",3709,2938,https://en.msidb.org/s.php?3709,https://en.msidb.org/m.php?2938
Bhajagovindam,Jagadguru Adisankaran,1977,Bihag,V Dakshinamoorthy,Sankaracharyar,KJ Yesudas,4407,3882,https://en.msidb.org/s.php?4407,https://en.msidb.org/m.php?3882
Sankara Digvijayam,Jagadguru Adisankaran,1977,Bihag,V Dakshinamoorthy,P Bhaskaran,KJ Yesudas,4404,3882,https://en.msidb.org/s.php?4404,https://en.msidb.org/m.php?3882
Ore raaga pallavi,Anupallavi,1979,Bihag,KJ Joy,Bichu Thirumala,"KJ Yesudas, S Janaki",5098,3149,https://en.msidb.org/s.php?5098,https://en.msidb.org/m.php?3149
Aalaapanam,Gaanam,1982,Bihag,V Dakshinamoorthy,Sreekumaran Thampi,"KJ Yesudas, S Janaki",6183,1710,https://en.msidb.org/s.php?6183,https://en.msidb.org/m.php?1710
Aalaapanam [M],Gaanam,1982,Bihag,V Dakshinamoorthy,Sreekumaran Thampi,KJ Yesudas,16138,1710,https://en.msidb.org/s.php?16138,https://en.msidb.org/m.php?1710
Ariyaathe ariyaathe,Oru Kadha Oru Nunakkadha,1986,Bihag,Johnson,MD Rajendran,KS Chithra,7950,1800,https://en.msidb.org/s.php?7950,https://en.msidb.org/m.php?1800
Ilamarimaan Nayane,Ayitham,1988,Bihag,MG Radhakrishnan,Traditional (Swathi Thirunal),KS Chithra,8132,1815,https://en.msidb.org/s.php?8132,https://en.msidb.org/m.php?1815
Poovithal,Ulsavappittennu,1988,Bihag,G Devarajan,Kavalam Narayana Panicker,P Madhuri,8225,4526,https://en.msidb.org/s.php?8225,https://en.msidb.org/m.php?4526
Poovithal [Bit],Ulsavappittennu,1988,Bihag,G Devarajan,Kavalam Narayana Panicker,KJ Yesudas,8226,4526,https://en.msidb.org/s.php?8226,https://en.msidb.org/m.php?4526
Naavaamukunda,Deshaadanam,1996,Bihag,Kaithapram,Kaithapram,"Deepankuran, Manju Menon",9880,1486,https://en.msidb.org/s.php?9880,https://en.msidb.org/m.php?1486
Ithilumenthupari Bhaagyam,Prahlaada,1941,Bilahari,Vidwan VS Parthasarathy Ayyankar,K Madhava Warrier,Uncategorized,2124,181,https://en.msidb.org/s.php?2124,https://en.msidb.org/m.php?181
Unarunaroo,Neelakkuyil,1954,Bilahari,K Raghavan,P Bhaskaran,Santha P Nair,1754,4647,https://en.msidb.org/s.php?1754,https://en.msidb.org/m.php?4647
Janani Jagajanani,Kaavyamela,1965,Bilahari,V Dakshinamoorthy,Vayalar Ramavarma,KJ Yesudas,593,4702,https://en.msidb.org/s.php?593,https://en.msidb.org/m.php?4702
Priyathamaa,Shakunthala,1965,Bilahari,G Devarajan,Vayalar Ramavarma,P Susheela,576,3692,https://en.msidb.org/s.php?576,https://en.msidb.org/m.php?3692
Vidilla Njaan,Lady Doctor,1967,Bilahari,V Dakshinamoorthy,P Bhaskaran,"Kamukara Purushothaman, S Janaki",890,4933,https://en.msidb.org/s.php?890,https://en.msidb.org/m.php?4933
Ezhilam Poomarakkaattil,Swapnabhoomi,1967,Bilahari,G Devarajan,Vayalar Ramavarma,P Susheela,1028,3566,https://en.msidb.org/s.php?1028,https://en.msidb.org/m.php?3566
Nallahaimavathabhoomiyil,Kumaarasambhavam,1969,Bilahari,G Devarajan,ONV Kurup,"P Susheela, Chorus",1397,557,https://en.msidb.org/s.php?1397,https://en.msidb.org/m.php?557
Manasse Ilam Manasse,Palunku Paathram,1970,Bilahari,V Dakshinamoorthy,Thikkurissi Sukumaran Nair,P Susheela,2239,84,https://en.msidb.org/s.php?2239,https://en.msidb.org/m.php?84
Sringaara Roopini,Panchavankaadu,1971,Bilahari,G Devarajan,Vayalar Ramavarma,"P Susheela, Chorus",2544,3133,https://en.msidb.org/s.php?2544,https://en.msidb.org/m.php?3133
Thripurasundari,Divyadarshanam,1973,Bilahari,MS Viswanathan,Sreekumaran Thampi,P Leela,3143,3458,https://en.msidb.org/s.php?3143,https://en.msidb.org/m.php?3458
Kaattaruvi Chilankaketti,Ladies Hostel,1973,Bilahari,MS Baburaj,Sreekumaran Thampi,S Janaki,3005,750,https://en.msidb.org/s.php?3005,https://en.msidb.org/m.php?750
Aadiparaashakthi,Ponnaapuram Kotta,1973,Bilahari,G Devarajan,Vayalar Ramavarma,"KJ Yesudas, PB Sreenivas, P Leela, P Susheela, P Madhuri",2948,3752,https://en.msidb.org/s.php?2948,https://en.msidb.org/m.php?3752
Allimalarkkaavil,Ankathattu,1974,Bilahari,G Devarajan,Vayalar Ramavarma,P Madhuri,3201,4872,https://en.msidb.org/s.php?3201,https://en.msidb.org/m.php?4872
Swarna Kodimarathil,Swaami Ayyappan,1975,Bilahari,G Devarajan,Sreekumaran Thampi,"P Jayachandran, N Sreekanth, P Madhuri, Chorus",3679,213,https://en.msidb.org/s.php?3679,https://en.msidb.org/m.php?213
Kanna Karimukil Varnna,Swimming Pool,1976,Bilahari,MK Arjunan,P Bhaskaran,Vani Jairam,3846,1104,https://en.msidb.org/s.php?3846,https://en.msidb.org/m.php?1104
Aayiram Phanamezhum,Kannappanunni,1977,Bilahari,K Raghavan,P Bhaskaran,KJ Yesudas,4199,5046,https://en.msidb.org/s.php?4199,https://en.msidb.org/m.php?5046
Nilavilakkin thiri,Shaantha oru Devatha,1977,Bilahari,MK Arjunan,Sreekumaran Thampi,Vani Jairam,4401,2484,https://en.msidb.org/s.php?4401,https://en.msidb.org/m.php?2484
Leela thilakamaninju,Irumbazhikal,1979,Bilahari,MK Arjunan,RK Damodaran,"KJ Yesudas, Chorus",5074,4556,https://en.msidb.org/s.php?5074,https://en.msidb.org/m.php?4556
Kathirmandapam [M],Kathirmandapam,1979,Bilahari,V Dakshinamoorthy,Sreekumaran Thampi,KJ Yesudas,5282,4253,https://en.msidb.org/s.php?5282,https://en.msidb.org/m.php?4253
Janani Jaga Janani,Sreedevi Darsanam,1980,Bilahari,G Devarajan,Traditional (Folk),Vani Jairam,15132,5362,https://en.msidb.org/s.php?15132,https://en.msidb.org/m.php?5362
Yaathonnil adangunnu,Sreedevi Darsanam,1980,Bilahari,G Devarajan,P Bhaskaran,"P Susheela, Vani Jairam",6857,5362,https://en.msidb.org/s.php?6857,https://en.msidb.org/m.php?5362
Kanugonthini,Sree Thyagaraja,1981,Bilahari,KV Mahadevan,Traditional (Thyagaraja),SP Balasubrahmanyam,6477,3020,https://en.msidb.org/s.php?6477,https://en.msidb.org/m.php?3020
Naa Jeevaadhaara,Sree Thyagaraja,1981,Bilahari,KV Mahadevan,Traditional (Thyagaraja),SP Balasubrahmanyam,6396,3020,https://en.msidb.org/s.php?6396,https://en.msidb.org/m.php?3020
Maveli mannante,Chunakkuttikal,1983,Bilahari,KP Udayabhanu,Parathulli Ravindran,S Janakidevi,10797,5286,https://en.msidb.org/s.php?10797,https://en.msidb.org/m.php?5286
Sindooraaruna Vigrahaam,Amme Naaraayana,1984,Bilahari,AT Ummer,Traditional (Lalitha Sahasranamam),KP Brahmanandan,13896,1053,https://en.msidb.org/s.php?13896,https://en.msidb.org/m.php?1053
Smarasadaa Maanasa,Raadha Maadhavam,1990,Bilahari,Vidyadharan,Traditional (Swathi Thirunal),MG Sreekumar,5401,2437,https://en.msidb.org/s.php?5401,https://en.msidb.org/m.php?2437
Unni vaavavo,Saanthwanam,1991,Bilahari,Mohan Sithara,Kaithapram,KS Chithra,10516,336,https://en.msidb.org/s.php?10516,https://en.msidb.org/m.php?336
Aananda Nadanam,Kamaladalam,1992,Bilahari,Raveendran,Kaithapram,"KJ Yesudas, Raveendran, Chorus",13757,3791,https://en.msidb.org/s.php?13757,https://en.msidb.org/m.php?3791
Aananda nadanam,Kamaladalam,1992,Bilahari,Raveendran,Kaithapram,Latha Raju,10437,3791,https://en.msidb.org/s.php?10437,https://en.msidb.org/m.php?3791
Thinkal Noyambin,Poochaykkaaru Manikettum,1992,Bilahari,Johnson,Bichu Thirumala,"MG Sreekumar, KS Chithra, Sujatha Mohan, N Lathika",12484,4969,https://en.msidb.org/s.php?12484,https://en.msidb.org/m.php?4969
Aararivum,CID Unnikrishnan B.A. B.Ed,1994,Bilahari,Johnson,Bichu Thirumala,"KJ Yesudas, P Jayachandran, Krishnachandran",10145,515,https://en.msidb.org/s.php?10145,https://en.msidb.org/m.php?515
Kalahapriye Nin Mizhikalil,Dilliwaala Rajakumaran,1996,Bilahari,Ouseppachan,S Ramesan Nair,"P Unnikrishnan, KS Chithra",14648,2987,https://en.msidb.org/s.php?14648,https://en.msidb.org/m.php?2987
Thom Thithom,Vaanarasena,1996,Bilahari,Berny Ignatius,Gireesh Puthenchery,"MG Sreekumar, Chorus",14054,2186,https://en.msidb.org/s.php?14054,https://en.msidb.org/m.php?2186
Raaravenu,Mr Butler,2000,Bilahari,Vidyasagar,Gireesh Puthenchery,"KS Chithra, Kalyani Menon",9590,5057,https://en.msidb.org/s.php?9590,https://en.msidb.org/m.php?5057
Kaanakkannil Kaanum,Police,2005,Bilahari,Ouseppachan,Joffy Tharakan,"Franco Simon Neelankavil, Ranjith Govind, Chorus",10966,3962,https://en.msidb.org/s.php?10966,https://en.msidb.org/m.php?3962
Kalyaanakkacheri (Aanandam),Maadambi,2008,Bilahari,M Jayachandran,Gireesh Puthenchery,"Shankar Mahadevan, M Jayachandran",16209,6176,https://en.msidb.org/s.php?16209,https://en.msidb.org/m.php?6176
Neeyinnenne Maranno,Kaaryasthan,2010,Bilawal,Berny Ignatius,Kaithapram,Jyotsna Radhakrishnan,192385,6748,https://en.msidb.org/s.php?192385,https://en.msidb.org/m.php?6748
Entha Mudho,Neelathaamara,2009,Bindumaalini,Vidyasagar,Traditional (Thyagaraja),Cherthala Ranganatha Sarma,190231,6625,https://en.msidb.org/s.php?190231,https://en.msidb.org/m.php?6625
Saamarasa Ranjini,Living Together,2011,Bindumaalini,M Jayachandran,Kaithapram,MG Sreekumar,192566,6804,https://en.msidb.org/s.php?192566,https://en.msidb.org/m.php?6804
Arabikkadalile,Nirmala,1948,Bowli,PS Divakar,G Sankara Kurup,TK Govindarao,16563,3395,https://en.msidb.org/s.php?16563,https://en.msidb.org/m.php?3395
Budhdham Saranam - Karuna Than Mani,Karuna,1966,Bowli,G Devarajan,ONV Kurup,KJ Yesudas,779,2903,https://en.msidb.org/s.php?779,https://en.msidb.org/m.php?2903
Chellacherukiliye,Chithramela,1967,Bowli,G Devarajan,Sreekumaran Thampi,KJ Yesudas,966,2806,https://en.msidb.org/s.php?966,https://en.msidb.org/m.php?2806
Daivame Kaithozhaam,Achanum Baappayum,1972,Bowli,G Devarajan,Vayalar Ramavarma,P Madhuri,2747,166,https://en.msidb.org/s.php?2747,https://en.msidb.org/m.php?166
Priyathame Prabhathame,Pushpaanjali,1972,Bowli,MK Arjunan,Sreekumaran Thampi,KJ Yesudas,2658,405,https://en.msidb.org/s.php?2658,https://en.msidb.org/m.php?405
Aadiyushassil,Manushyan,1979,Bowli,V Dakshinamoorthy,Bharanikkavu Sivakumar,KJ Yesudas,5053,2678,https://en.msidb.org/s.php?5053,https://en.msidb.org/m.php?2678
Suprabhaatham,Sree Oozhpaazhchi Daivadar,1980,Bowli,V Dakshinamoorthy,Keethari Narayanan Nambiar,KJ Yesudas,19331,6564,https://en.msidb.org/s.php?19331,https://en.msidb.org/m.php?6564
Melukovayya,Sree Thyagaraja,1981,Bowli,KV Mahadevan,Traditional (Thyagaraja),SP Balasubrahmanyam,5470,3020,https://en.msidb.org/s.php?5470,https://en.msidb.org/m.php?3020
Deepam,Avidatheppole Ivideyum,1985,Bowli,MK Arjunan,P Bhaskaran,S Janaki,6585,1949,https://en.msidb.org/s.php?6585,https://en.msidb.org/m.php?1949
Paarvathi Naayaka,Swaathy Thirunaal,1987,Bowli,MB Sreenivasan,Traditional (Swathi Thirunal),"KJ Yesudas, KS Chithra",7123,252,https://en.msidb.org/s.php?7123,https://en.msidb.org/m.php?252
Gangaa Tharanga [Bit],Devaasuram,1993,Bowli,MG Radhakrishnan,Gireesh Puthenchery,MG Sreekumar,189990,5052,https://en.msidb.org/s.php?189990,https://en.msidb.org/m.php?5052
Paavaka jwaalakal uyarunnu,Ente Shathrukkal (Porattam),1982,Chalanaatta,MK Arjunan,Poovachal Khader,KJ Yesudas,6231,2345,https://en.msidb.org/s.php?6231,https://en.msidb.org/m.php?2345
Rithumathiyaay Thelimaanam,Mazhanilaavu,1983,Chalanaatta,Raveendran,Poovachal Khader,"KJ Yesudas, Latha Raju",6468,2705,https://en.msidb.org/s.php?6468,https://en.msidb.org/m.php?2705
Moham kondu njan,Shesham Kaazhchayil,1983,Chalanaatta,Johnson,Konniyoor Bhas,P Jayachandran,10779,2436,https://en.msidb.org/s.php?10779,https://en.msidb.org/m.php?2436
Moham kondu njan,Shesham Kaazhchayil,1983,Chalanaatta,Johnson,Konniyoor Bhas,S Janaki,10780,2436,https://en.msidb.org/s.php?10780,https://en.msidb.org/m.php?2436
Vinnile gandharva,Raajaavinte Makan,1986,Chalanaatta,SP Venkitesh,Shibu Chakravarthy,Unni Menon,7807,1308,https://en.msidb.org/s.php?7807,https://en.msidb.org/m.php?1308
Paalkkadaliluyarum Paramaanandame,Romeo,2007,Chalanaatta,Alex Paul,Sarath Vayalar,"Sankaran Namboothiri, Manjari",15398,6091,https://en.msidb.org/s.php?15398,https://en.msidb.org/m.php?6091
Paalkkadaliluyarum Paramaanandame [F],Romeo,2007,Chalanaatta,Alex Paul,Sarath Vayalar,Manjari,15390,6091,https://en.msidb.org/s.php?15390,https://en.msidb.org/m.php?6091
Ethayya Gathi,Ozhimuri,2012,Chalanaatta,Bijibal Maniyil,Kodeeshwara Iyer,KJ Chakrapani,194107,7107,https://en.msidb.org/s.php?194107,https://en.msidb.org/m.php?7107
Hindolaraagathin,Thuruppugulaan,1977,Chandra Kouns,V Dakshinamoorthy,Sreekumaran Thampi,"Vani Jairam, Latha Raju",4118,697,https://en.msidb.org/s.php?4118,https://en.msidb.org/m.php?697
Madana Sopaanathil,Aanakkalari,1978,Chandra Kouns,MK Arjunan,Sreekumaran Thampi,"Ambili Rajasekharan, Jency",4901,1882,https://en.msidb.org/s.php?4901,https://en.msidb.org/m.php?1882
Kuru nirayo,Paarvathy,1981,Chandra Kouns,Johnson,MD Rajendran,"P Jayachandran, Vani Jairam",5995,4893,https://en.msidb.org/s.php?5995,https://en.msidb.org/m.php?4893
Nandavanathile Sougandhikangale,Naaradan Keralathil,1987,Chandra Kouns,MK Arjunan,P Bhaskaran,"Vani Jairam, N Lathika",7109,339,https://en.msidb.org/s.php?7109,https://en.msidb.org/m.php?339
Vallaki Meettunna Pallavi Kettente,Captain Sharma,1988,Chandra Kouns,Steve Mathen,Dr Sadasivan,KJ Yesudas,13487,5592,https://en.msidb.org/s.php?13487,https://en.msidb.org/m.php?5592
Saagarame Saagara Sangama,Kanyakumariyil Oru Kavitha,1993,Chandra Kouns,Kannur Rajan,Chunakkara Ramankutty,KJ Yesudas,12426,1774,https://en.msidb.org/s.php?12426,https://en.msidb.org/m.php?1774
Manjunoopura,Saaphalyam,1997,Chandra Kouns,Raveendran,ONV Kurup,KJ Yesudas,9433,5781,https://en.msidb.org/s.php?9433,https://en.msidb.org/m.php?5781
Marayaathe Viliasavoo,Kaalam Maarunnu,1955,Charukesi,Br Lakshmanan,Thirunayinaarkurichi Madhavan Nair,Kaviyoor Revamma,1799,438,https://en.msidb.org/s.php?1799,https://en.msidb.org/m.php?438
Vanadevathamaare,Shakunthala,1965,Charukesi,G Devarajan,Vayalar Ramavarma,"PB Sreenivas, Chorus",578,3692,https://en.msidb.org/s.php?578,https://en.msidb.org/m.php?3692
Kadhayonnu Kettu,Cochin Express,1967,Charukesi,V Dakshinamoorthy,Sreekumaran Thampi,S Janaki,986,4138,https://en.msidb.org/s.php?986,https://en.msidb.org/m.php?4138
Akale Akale Neelakaasham,Midumidukki,1968,Charukesi,MS Baburaj,Sreekumaran Thampi,"KJ Yesudas, S Janaki",1153,1246,https://en.msidb.org/s.php?1153,https://en.msidb.org/m.php?1246
Kaattadichu,Thulaabharam,1968,Charukesi,G Devarajan,Vayalar Ramavarma,KJ Yesudas,1148,4455,https://en.msidb.org/s.php?1148,https://en.msidb.org/m.php?4455
Kazhinja Sambhavangal,Kuruthikkalam,1969,Charukesi,Jaya Vijaya,P Bhaskaran,KJ Yesudas,1305,743,https://en.msidb.org/s.php?1305,https://en.msidb.org/m.php?743
Shraanthamambaram,Abhayam,1970,Charukesi,V Dakshinamoorthy,G Sankara Kurup,KJ Yesudas,2319,2418,https://en.msidb.org/s.php?2319,https://en.msidb.org/m.php?2418
Kaalidaasan Marichu,Thaara,1970,Charukesi,G Devarajan,Vayalar Ramavarma,KJ Yesudas,2395,1442,https://en.msidb.org/s.php?2395,https://en.msidb.org/m.php?1442
Govardhana Giri,Marunaattil Oru Malayaali,1971,Charukesi,V Dakshinamoorthy,Sreekumaran Thampi,S Janaki,2555,1385,https://en.msidb.org/s.php?2555,https://en.msidb.org/m.php?1385
Thaamaramotte,Pachanottukal,1973,Charukesi,MK Arjunan,Sreekumaran Thampi,"KJ Yesudas, B Vasantha",3072,2363,https://en.msidb.org/s.php?3072,https://en.msidb.org/m.php?2363
Sahyante Hridayam,Durga,1974,Charukesi,G Devarajan,Vayalar Ramavarma,KJ Yesudas,3274,3951,https://en.msidb.org/s.php?3274,https://en.msidb.org/m.php?3951
Sanmaarggam Theduvin,Honeymoon,1974,Charukesi,MK Arjunan,Sreekumaran Thampi,"P Jayachandran, Chorus",3441,1190,https://en.msidb.org/s.php?3441,https://en.msidb.org/m.php?1190
Vishaala Jeevitha,Moham,1974,Charukesi,MK Arjunan,P Bhaskaran,KJ Yesudas,3327,1242,https://en.msidb.org/s.php?3327,https://en.msidb.org/m.php?1242
Chanchalitha,Dharmakshethre Kurukshethre,1975,Charukesi,MS Viswanathan,Vayalar Ramavarma,"KJ Yesudas, S Janaki",3680,2685,https://en.msidb.org/s.php?3680,https://en.msidb.org/m.php?2685
Chanchalitha,Dharmakshethre Kurukshethre,1975,Charukesi,MS Viswanathan,Vayalar Ramavarma,"B Vasantha, P Susheela, Ambili Rajasekharan",3681,2685,https://en.msidb.org/s.php?3681,https://en.msidb.org/m.php?2685
Chandrakkala maanathu,Picnic,1975,Charukesi,MK Arjunan,Sreekumaran Thampi,KJ Yesudas,3538,4077,https://en.msidb.org/s.php?3538,https://en.msidb.org/m.php?4077
Harinaaraayana,Swaami Ayyappan,1975,Charukesi,G Devarajan,Vayalar Ramavarma,KJ Yesudas,3676,213,https://en.msidb.org/s.php?3676,https://en.msidb.org/m.php?213
Chellu Chellu Menake,Tourist Bunglow,1975,Charukesi,MK Arjunan,ONV Kurup,P Jayachandran,3570,3924,https://en.msidb.org/s.php?3570,https://en.msidb.org/m.php?3924
Kunkumasandhya,Missi,1976,Charukesi,G Devarajan,Mankombu Gopalakrishnan,P Susheela,4047,948,https://en.msidb.org/s.php?4047,https://en.msidb.org/m.php?948
Bhoomikku Burmma Vakkum,Pick Pocket,1976,Charukesi,MK Arjunan,Pappanamkodu Lakshmanan,"P Jayachandran, Pattam Sadan",4033,1648,https://en.msidb.org/s.php?4033,https://en.msidb.org/m.php?1648
Vidarum Munpe,Vanadevatha,1976,Charukesi,G Devarajan,Yusufali Kecheri,KJ Yesudas,3812,3947,https://en.msidb.org/s.php?3812,https://en.msidb.org/m.php?3947
Munthiri Neerinu,Ashtamangalyam,1977,Charukesi,MK Arjunan,Kanam EJ,S Janaki,4290,2160,https://en.msidb.org/s.php?4290,https://en.msidb.org/m.php?2160
Sankara Digvijayam,Jagadguru Adisankaran,1977,Charukesi,V Dakshinamoorthy,P Bhaskaran,KJ Yesudas,4404,3882,https://en.msidb.org/s.php?4404,https://en.msidb.org/m.php?3882
Neelaanjanamalayilu Neeli,Kaduvaye Pidicha Kiduva,1977,Charukesi,V Dakshinamoorthy,Sreekumaran Thampi,KJ Yesudas,4183,1657,https://en.msidb.org/s.php?4183,https://en.msidb.org/m.php?1657
