Song,Movie,Year,Raga,Musician,Lyricist,Singers,Song_ID,Movie_ID,Song_URL,Movie_URL
Kaayampoo Niramaay,Su Su Sudhi Valmeekam,2015,Aabhogi,Bijibal Maniyil,Santhosh Varma,"Shweta Mohan, K Girija Varma",1954351,8020,https://en.msidb.org/s.php?1954351,https://en.msidb.org/m.php?8020
Paarudaya Mariyame,Kattappanayile Rithik Roshan,2016,Aabhogi,Nadirsha,"Santhosh Varma, Nadirsha","Rimi Tomy, Vaikom Vijayalakshmi",1954932,8179,https://en.msidb.org/s.php?1954932,https://en.msidb.org/m.php?8179
Panimathimukhi Baale,Nirmaalyam,1973,Aahiri,K Raghavan,Traditional (Swathi Thirunal),"Sukumari Narendra Menon, Chorus",3146,4736,https://en.msidb.org/s.php?3146,https://en.msidb.org/m.php?4736
Oru murai Vanthu Paaraayo [F],Manichithrathaazhu,1993,Aahiri,MG Radhakrishnan,Vaali,Sujatha Mohan,10252,1243,https://en.msidb.org/s.php?10252,https://en.msidb.org/m.php?1243
Pazham Thamizhppaattizhayum,Manichithrathaazhu,1993,Aahiri,MG Radhakrishnan,Bichu Thirumala,KJ Yesudas,12352,1243,https://en.msidb.org/s.php?12352,https://en.msidb.org/m.php?1243
Chempakappoo,Rathinirvedam,2011,Aahiri,M Jayachandran,Murukan Kattakkada,Sudeep Kumar,192949,6878,https://en.msidb.org/s.php?192949,https://en.msidb.org/m.php?6878
Udukkukottippaadum,Kandavarundo,1972,Aanandhaambari,RK Sekhar,Sreekumaran Thampi,S Janaki,2648,1736,https://en.msidb.org/s.php?2648,https://en.msidb.org/m.php?1736
Poovaamkuzhali,Vaadakakkoru Hridayam,1978,Aanandhaambari,G Devarajan,Kavalam Narayana Panicker,KJ Yesudas,4701,57,https://en.msidb.org/s.php?4701,https://en.msidb.org/m.php?57
Ragasudharasa,Sargam,1992,Aandholika,Bombay Ravi,Traditional (Thyagaraja),"KJ Yesudas, KS Chithra",10386,3494,https://en.msidb.org/s.php?10386,https://en.msidb.org/m.php?3494
Ezhuthidunnu Vaniyil,Ithra Maathram,2012,Aandholika,Jaison J Nair,Rafeeq Ahamed,P Unnikrishnan,193945,7141,https://en.msidb.org/s.php?193945,https://en.msidb.org/m.php?7141
Arabikkadalile,Nirmala,1948,Aarabhi,PS Divakar,G Sankara Kurup,TK Govindarao,16563,3395,https://en.msidb.org/s.php?16563,https://en.msidb.org/m.php?3395
Kannum Poottiyuranguka,Snehaseema,1954,Aarabhi,V Dakshinamoorthy,Abhayadev,"AM Raja, P Leela",1775,342,https://en.msidb.org/s.php?1775,https://en.msidb.org/m.php?342
Kannum Poottiyuranguka,Snehaseema,1954,Aarabhi,V Dakshinamoorthy,Abhayadev,P Leela,1776,342,https://en.msidb.org/s.php?1776,https://en.msidb.org/m.php?342
Kanivu Nirayum,Bhakthakuchela,1961,Aarabhi,Br Lakshmanan,Thirunayinaarkurichi Madhavan Nair,"P Leela, AP Komala",94,1265,https://en.msidb.org/s.php?94,https://en.msidb.org/m.php?1265
Cheraan Perumaal,Unniyaarcha,1961,Aarabhi,K Raghavan,P Bhaskaran,K Raghavan,2044,1206,https://en.msidb.org/s.php?2044,https://en.msidb.org/m.php?1206
Ponnoonjale,Unniyaarcha,1961,Aarabhi,K Raghavan,P Bhaskaran,"P Susheela, S Janaki",2052,1206,https://en.msidb.org/s.php?2052,https://en.msidb.org/m.php?1206
Varamaruluka,Kadalamma,1963,Aarabhi,G Devarajan,Vayalar Ramavarma,P Leela,238,684,https://en.msidb.org/s.php?238,https://en.msidb.org/m.php?684
Kanikaanum Neram,Omanakuttan,1964,Aarabhi,G Devarajan,Traditional (Poonthanam),"P Leela, Renuka",373,3706,https://en.msidb.org/s.php?373,https://en.msidb.org/m.php?3706
Omanathinkal Kidaavo,Postman,1967,Aarabhi,BA Chidambaranath,Traditional (Irayimman Thampi),"KJ Yesudas, B Vasantha",895,2169,https://en.msidb.org/s.php?895,https://en.msidb.org/m.php?2169
Thamburaattikkoru,Viplavakaarikal,1968,Aarabhi,G Devarajan,Vayalar Ramavarma,"P Susheela, P Leela",1043,3406,https://en.msidb.org/s.php?1043,https://en.msidb.org/m.php?3406
Vellottu Valayittu,Othenante Makan,1970,Aarabhi,G Devarajan,Vayalar Ramavarma,P Susheela,2308,2354,https://en.msidb.org/s.php?2308,https://en.msidb.org/m.php?2354
Puthooram Veettil,Aromalunni,1972,Aarabhi,G Devarajan,Vayalar Ramavarma,KJ Yesudas,2699,1066,https://en.msidb.org/s.php?2699,https://en.msidb.org/m.php?1066
Ponnambala Nada,Sree Guruvayoorappan,1972,Aarabhi,V Dakshinamoorthy,ONV Kurup,P Susheela,2794,790,https://en.msidb.org/s.php?2794,https://en.msidb.org/m.php?790
Aattum Manammele,Padmavyooham,1973,Aarabhi,MK Arjunan,Sreekumaran Thampi,"KP Brahmanandan, P Madhuri, Chorus",3189,309,https://en.msidb.org/s.php?3189,https://en.msidb.org/m.php?309
Ente Makan Krishnanunni,Udayam,1973,Aarabhi,V Dakshinamoorthy,P Bhaskaran,S Janaki,2934,3156,https://en.msidb.org/s.php?2934,https://en.msidb.org/m.php?3156
Rathisukhasaare,Amma,1976,Aarabhi,MK Arjunan,Traditional (Jayadevar),Vani Jairam,3802,5323,https://en.msidb.org/s.php?3802,https://en.msidb.org/m.php?5323
Jyothirmayee,Mallanum Mathevanum,1976,Aarabhi,Kumarakam Rajappan,Poochakkal Shahul Hameed,"Alleppey Jayashree, Chorus",3980,1846,https://en.msidb.org/s.php?3980,https://en.msidb.org/m.php?1846
Muthumanikal,Ashtamangalyam,1977,Aarabhi,MK Arjunan,Kanam EJ,P Susheela,4292,2160,https://en.msidb.org/s.php?4292,https://en.msidb.org/m.php?2160
Navakaabhishekam Kazhinju,Guruvayoor Kesavan,1977,Aarabhi,G Devarajan,P Bhaskaran,KJ Yesudas,4447,4509,https://en.msidb.org/s.php?4447,https://en.msidb.org/m.php?4509
Bruce Lee Kunjallayo,Raju Rahim,1978,Aarabhi,MK Arjunan,RK Damodaran,"PB Sreenivas, P Jayachandran, CO Anto",4578,5050,https://en.msidb.org/s.php?4578,https://en.msidb.org/m.php?5050
Poornendu Raathripol,College Beauty,1979,Aarabhi,MS Baburaj,Mankombu Gopalakrishnan,KJ Yesudas,5134,1201,https://en.msidb.org/s.php?5134,https://en.msidb.org/m.php?1201
Ettumanoorambalathil(Plain) (Bit),Oppol,1981,Aarabhi,MB Sreenivasan,P Bhaskaran,S Janaki,192850,4726,https://en.msidb.org/s.php?192850,https://en.msidb.org/m.php?4726
Aakaasha poyka,Randu Mukhangal,1981,Aarabhi,MK Arjunan,Appan Thachethu,Vani Jairam,6057,4502,https://en.msidb.org/s.php?6057,https://en.msidb.org/m.php?4502
Thuyilunaru,Ankuram,1982,Aarabhi,MS Viswanathan,ONV Kurup,"P Jayachandran, P Susheela, Chorus",6198,1779,https://en.msidb.org/s.php?6198,https://en.msidb.org/m.php?1779
Shabarimalayoru Poonkaavanam,Sabarimala Darsanam,1984,Aarabhi,Jerry Amaldev,Koorkenchery Sugathan,"KJ Yesudas, Chorus",12707,5079,https://en.msidb.org/s.php?12707,https://en.msidb.org/m.php?5079
Ithiri Naanam,Thammil Thammil,1985,Aarabhi,Raveendran,Poovachal Khader,"KJ Yesudas, N Lathika",6628,484,https://en.msidb.org/s.php?6628,https://en.msidb.org/m.php?484
Pudamurikkalyanam,Chilambu,1986,Aarabhi,Ouseppachan,Bharathan,KS Chithra,7845,2093,https://en.msidb.org/s.php?7845,https://en.msidb.org/m.php?2093
Eerezhu Pathinaalu,Swargam,1987,Aarabhi,Ernakulam Gopan,Unni Aranmula,KJ Yesudas,7023,550,https://en.msidb.org/s.php?7023,https://en.msidb.org/m.php?550
Aadi prakrithi,Oliyambukal (Paithrukam),1990,Aarabhi,MS Viswanathan,ONV Kurup,"MG Sreekumar, Sujatha Mohan",5428,4782,https://en.msidb.org/s.php?5428,https://en.msidb.org/m.php?4782
Swami Ayyappa,Sabarimala Sree Ayyappan,1990,Aarabhi,KV Mahadevan,Sreekumaran Thampi,KJ Yesudas,1422,5117,https://en.msidb.org/s.php?1422,https://en.msidb.org/m.php?5117
Sourayoodhathile,Vamshaantharam,1990,Aarabhi,Murali Sithara,Ooruttambalam Balakrishnan,KJ Yesudas,14546,5741,https://en.msidb.org/s.php?14546,https://en.msidb.org/m.php?5741
Dhwani Prasaadam,Bharatham,1991,Aarabhi,Raveendran,Kaithapram,"M Balamuralikrishna, KJ Yesudas, KS Chithra",10606,2576,https://en.msidb.org/s.php?10606,https://en.msidb.org/m.php?2576
Sree Saraswathi,Sargam,1992,Aarabhi,Bombay Ravi,Traditional (Muthuswamy Dikshithar),KS Chithra,12267,3494,https://en.msidb.org/s.php?12267,https://en.msidb.org/m.php?3494
Sreepaadam Ragardramaay,Devaasuram,1993,Aarabhi,MG Radhakrishnan,Gireesh Puthenchery,MG Sreekumar,10312,5052,https://en.msidb.org/s.php?10312,https://en.msidb.org/m.php?5052
Sreepaadam Ragardramaay,Devaasuram,1993,Aarabhi,MG Radhakrishnan,Gireesh Puthenchery,KS Chithra,15264,5052,https://en.msidb.org/s.php?15264,https://en.msidb.org/m.php?5052
Sopaanasangeethalahariyil,Oru Kadamkatha Pole,1993,Aarabhi,Mohan Sithara,ONV Kurup,KJ Yesudas,11985,4164,https://en.msidb.org/s.php?11985,https://en.msidb.org/m.php?4164
Thirunada,Oru Kadamkatha Pole,1993,Aarabhi,Mohan Sithara,ONV Kurup,KJ Yesudas,11986,4164,https://en.msidb.org/s.php?11986,https://en.msidb.org/m.php?4164
Oru Deva Maalika,Roudram,1994,Aarabhi,Kozhikode Yesudas,PK Gopi,"KJ Yesudas, KS Chithra",12724,5667,https://en.msidb.org/s.php?12724,https://en.msidb.org/m.php?5667
Neelaakaasham,Saagaram saakshi,1994,Aarabhi,Sharreth,Kaithapram,"KJ Yesudas, KS Chithra",10093,3205,https://en.msidb.org/s.php?10093,https://en.msidb.org/m.php?3205
Saadhim Chane,Sopaanam,1994,Aarabhi,SP Venkitesh,Traditional (Thyagaraja),"KJ Yesudas, TN Seshagoapalan, KS Chithra, Manju Menon",12219,4602,https://en.msidb.org/s.php?12219,https://en.msidb.org/m.php?4602
Engane Njaan [M],Deshaadanam,1996,Aarabhi,Kaithapram,Kaithapram,KJ Yesudas,16051,1486,https://en.msidb.org/s.php?16051,https://en.msidb.org/m.php?1486
