ID,Name,Original_Name,Melakarta_No,Melakarta_Name,Chakra_No,Chakra_Name,Arohana,Avarohana,Scale_Type,Is_Bhashanga,Anya_Swaras,Is_Vakra,Extra_Note
"veerapratapa","Veerapratapa","Veerapratāpa",29,"Dheerasankarabharanam",5,"Bana (Arrows)","S G3 M1 P D2 S'","S' N3 D2 P M1 G3 R2 S","Audava-Sampurna",No,"",Yes,""
"vilasini","Vilasini","Vilāsini",29,"Dheerasankarabharanam",5,"Bana (Arrows)","S R2 G3 M1 P N3 S'","S' N3 P M1 G3 R2 S","Shadava",No,"",Yes,""
"nagabharanam","Nagabharanam","Nāgabharanam",30,"Naganandini",5,"Bana (Arrows)","S R2 G2 M1 P D3 N3 S'","S' N3 D3 P M1 G2 R2 S","Sampurna",No,"",Yes,""
"gambheeravani","Gambheeravani","Gambheeravani",30,"Naganandini",5,"Bana (Arrows)","S G3 P M1 D3 N3 S'","S' N3 P M1 G3 R2 G3 R2 S","Shadava",No,"",Yes,""
"lalithagandharva","Lalithagandharva","Lalithagāndharva",30,"Naganandini",5,"Bana (Arrows)","S R2 G3 M1 P D3 N3 S'","S' N3 P G3 R2 S","Sampurna-Audava",No,"",Yes,""
"samanta","Samanta","Sāmanta",30,"Naganandini",5,"Bana (Arrows)","S R2 G3 M1 P D3 N3 S'","S' N3 D3 N3 D3 P M1 G3 R2 S","Sampurna",No,"",Yes,""
"kalavathi","Kalavathi","Kalāvathi",31,"Yagapriya",6,"Ritu (Seasons)","S R3 G3 M1 P D1 N1 S'","S' N1 D1 P M1 G3 R3 S","Sampurna",No,"",Yes,""
"damarugapriya","Damarugapriya","Damarugapriya",31,"Yagapriya",6,"Ritu (Seasons)","S R3 G3 P D1 N1 S'","S' N1 D1 P G3 R3 S","Shadava",No,"",Yes,""
"desharanjani","Desharanjani","Desharanjani",31,"Yagapriya",6,"Ritu (Seasons)","S R3 M1 P D1 N1 S'","S' N1 D1 P M1 R3 S","Shadava",No,"",Yes,""
"deshyathodi","Deshyathodi","Deshyathodi",31,"Yagapriya",6,"Ritu (Seasons)","S G2 M1 P D1 N2 S'","S' N2 D1 P M1 G2 R1 S","Shadava-Sampurna",No,"",Yes,""
"kalahamsa","Kalahamsa","Kalāhamsa",31,"Yagapriya",6,"Ritu (Seasons)","S R3 G3 M1 P D1 S'","S' N1 D1 P M1 G3 R3 S","Shadava-Sampurna",No,"",Yes,""
"niranjani","Niranjani","Niranjani",31,"Yagapriya",6,"Ritu (Seasons)","S R3 M1 D1 N1 S'","S' N1 D1 M1 R3 S","Audava",No,"",Yes,""
"prathapahamsi","Prathapahamsi","Prathāpahamsi",31,"Yagapriya",6,"Ritu (Seasons)","S G3 M1 P N1 D1 N1 S'","S' N1 D1 P M1 G3 M1 R3 S","Shadava-Sampurna",No,"",Yes,""
"ragachoodamani","Ragachoodamani","Rāgachoodāmani",32,"Ragavardhini",6,"Ritu (Seasons)","S R3 G3 M1 P N2 S'","S' N2 D1 M1 R3 G3 S","Shadava",No,"",Yes,""
"amudagandhari","Amudagandhari","Amudagāndhāri",32,"Ragavardhini",6,"Ritu (Seasons)","S G3 M1 P D1 N2 S'","S' N2 D1 P M1 G3 R3 S","Shadava-Sampurna",No,"",Yes,""
"dhowmya","Dhowmya","Dhowmya",32,"Ragavardhini",6,"Ritu (Seasons)","S R3 G3 M1 P D1 N2 P S'","S' N2 D1 P M1 G3 R3 S","Sampurna",No,"",Yes,""
"hindoladarbar","Hindoladarbar","Hindoladarbār",32,"Ragavardhini",6,"Ritu (Seasons)","S G3 M1 P S'","S' N2 D1 P M1 R3 S","Swarantara-Shadava",No,"",Yes,""
"ramya","Ramya","Ramyā",32,"Ragavardhini",6,"Ritu (Seasons)","S R3 G3 M1 P D1 N2 P S'","S' N2 D1 P M1 G3 R3 S","Sampurna",No,"",Yes,""
"samantajingala","Samantajingala","Sāmantajingala",32,"Ragavardhini",6,"Ritu (Seasons)","S R3 G3 M1 P D1 N2 S'","S' N2 P D1 N2 P M1 G3 M1 R3 G3 S","Sampurna",No,"",Yes,""
"gangatarangini","Gangatarangini","Gangātarangini",33,"Gangeyabhushani",6,"Ritu (Seasons)","S R3 G3 M1 P D1 N3 S'","S' N3 D1 P M1 M1 G3 M1 R3 S","Sampurna",No,"",Yes,""
"amarasindhu","Amarasindhu","Amarasindhu",34,"Vagadheeswari",6,"Ritu (Seasons)","S R3 G3 P D2 N2 S'","S' N2 D2 P G3 R3 S","Shadava",No,"",Yes,""
"bhogachaya-nattai","Bhogachaya Nattai","Bhogachāyā Nāttai",34,"Vagadheeswari",6,"Ritu (Seasons)","S R3 G3 R3 G3 M1 P N2 N2 S'","S' N2 D2 N2 P S N2 P M1 M1 R3 S","Shadava",No,"",Yes,""
"bhanumanjari","Bhanumanjari","Bhānumanjari",34,"Vagadheeswari",6,"Ritu (Seasons)","S R3 G3 M1 P N2 S'","S' N2 P M1 R3 G3 R3 S","Shadava",No,"",Yes,""
"chayanattai","Chayanattai","Chāyanāttai",34,"Vagadheeswari",6,"Ritu (Seasons)","S R3 G3 M1 P M1 P S'","S' N2 D2 N2 P M1 R3 S","Audava-Shadava",No,"",Yes,""
"maghathi","Maghathi","Maghathi",34,"Vagadheeswari",6,"Ritu (Seasons)","S R3 M1 P D2 N2 S'","S' N2 D2 P M1 R3 S","Shadava",No,"",Yes,""
"dravida-kalavati","Dravida Kalavati","Drāvida Kalāvati",34,"Vagadheeswari",6,"Ritu (Seasons)","S R3 G3 P D2 S'","S' N2 D2 P G3 R3 S","Audava-Shadava",No,"",Yes,""
"mohanangi","Mohanangi","Mohanāngi",34,"Vagadheeswari",6,"Ritu (Seasons)","S R3 G3 P D2 S'","S' D2 P G3 P D2 P G3 R3 S","Audava",No,"",Yes,""
"murali","Murali","Murali",34,"Vagadheeswari",6,"Ritu (Seasons)","S R3 G3 M1 D2 N2 S'","S' N2 D2 M1 G3 R3 S","Shadava",No,"",Yes,""
"sharadabharana","Sharadabharana","Sharadabharana",34,"Vagadheeswari",6,"Ritu (Seasons)","S M1 G3 M1 P M1 D2 N2 S'","S' N2 D2 M1 P M1 R3 S","Shadava",No,"",Yes,""
"vikhavathi","Vikhavathi","Vikhavathi",34,"Vagadheeswari",6,"Ritu (Seasons)","S R3 G3 P D2 S'","S' D2 P G3 R3 S","Audava",No,"",Yes,""
"shailadeshakshhi","Shailadeshakshhi","Shailadeshākshhi",35,"Sulini",6,"Ritu (Seasons)","S M1 G3 P D2 S'","S' N3 D2 S N3 P M1 G3 S","Audava-Shadava",No,"",Yes,""
"suryavasantham","Suryavasantham","Suryavasantham",35,"Sulini",6,"Ritu (Seasons)","S M1 G3 M1 D2 N3 S'","S' N3 D2 M1 G3 R3 S","Audava-Shadava",No,"",Yes,""
"dheerahindolam","Dheerahindolam","Dheerahindolam",35,"Sulini",6,"Ritu (Seasons)","S G3 M1 D2 N3 S'","S' N3 D2 P M1 G3 R3 S","Audava-Sampurna",No,"",Yes,""
"ganavaridhi","Ganavaridhi","Ganavaridhi",35,"Sulini",6,"Ritu (Seasons)","S M1 R3 G3 M1 P D2 N2 S' S M1 R3 G3 M1 P D2 N3 S'","S' D2 N2 P M1 R3 S S' D2 N3 P M1 R3 S","Sampurna-Shadava",No,"",Yes,""
"shokavarali","Shokavarali","Shokavarāli",35,"Sulini",6,"Ritu (Seasons)","S G3 D2 N3","D2 P M1 G3 R3 S","Swarantara-Shadava",No,"",No,""
"devanattai","Devanattai","Devanāttai",36,"Chalanata",6,"Ritu (Seasons)","S G3 M1 P S'","S' N3 D3 P M1 G3 R3 S","Swarantara-Sampurna",No,"",Yes,""
"gambheeranattai","Gambheeranattai","Gambheeranāṭṭai",36,"Chalanata",6,"Ritu (Seasons)","S G3 M1 P N3 S'","S' N3 P M1 G3 S","Audava",No,"",Yes,""
"ganaranjani","Ganaranjani","Ganaranjani",36,"Chalanata",6,"Ritu (Seasons)","S R3 G3 M1 P M1 D3 N3 S'","S' N3 D3 P M1 P M1 R3 S","Sampurna-Shadava",No,"",Yes,""
"nattai","Nattai","Nāṭṭai",36,"Chalanata",6,"Ritu (Seasons)","S R3 G3 M1 P N3 S'","S' N3 P M1 G3 R3 S","Shadava",No,"",Yes,""
"sowgandhini","Sowgandhini","Sowgandhini",37,"Salagam",7,"Rishi (Sages)","S R1 M2 P D1 S'","S' N1 D1 P M2 G1 R1 S","Audava-Sampurna",No,"",Yes,""
"bhogasaveri","Bhogasaveri","Bhogasāveri",37,"Salagam",7,"Rishi (Sages)","S R1 M2 D1 N1","D1 P M2 G1 R1 S","Audava-Shadava",No,"",No,""
"jaganmohinam","Jaganmohinam","Jaganmohinam",38,"Jalarnavam",7,"Rishi (Sages)","S R1 G1 M2 P D1 N2 S'","S' N2 D1 P M2 G1 R1 S","Sampurna",No,"",Yes,""
"jaganmohana","Jaganmohana","Jaganmohana",38,"Jalarnavam",7,"Rishi (Sages)","S R1 G1 M2 P D2 S'","S' N2 D1 P M2 G1 R1 S","Shadava-Sampurna",No,"",Yes,""
"dhalivarali","Dhalivarali","Dhālivarāli",39,"Jhalavarali",7,"Rishi (Sages)","S R1 G1 M2 P D1 N3 S'","S' N3 D1 P M2 G1 R1 S","Sampurna",No,"",Yes,""
"bhoopalapanchamam","Bhoopalapanchamam","Bhoopālapanchamam",39,"Jhalavarali",7,"Rishi (Sages)","S G1 R1 G1 P M2 D1 S'","S' P D1 M2 G1 R1 S","Shadava",No,"",Yes,""
"godari","Godari","Godari",39,"Jhalavarali",7,"Rishi (Sages)","S R1 G1 R1 M2 G1 M2 P D1 N3 S'","S' N3 D1 P M2 R1 S","Sampurna-Shadava",No,"",Yes,""
"jalasugandhi","Jalasugandhi","Jālasugandhi",39,"Jhalavarali",7,"Rishi (Sages)","S R1 G1 M2 P D1 S'","S' D1 P M2 G1 R1 S","Shadava",No,"",Yes,""
"janavali","Janavali","Janāvali",39,"Jhalavarali",7,"Rishi (Sages)","S G2 R1 G2 M2 P D1 N3 D1 S'","S' N3 D1 P M2 G2 R1 S","Sampurna",No,"",Yes,""
"karunamritavarshini","Karunamritavarshini","Karunāmritavarshini",39,"Jhalavarali",7,"Rishi (Sages)","S R1 G1 M2 P D1 N3 P S'","S' N3 D1 M2 G1 R1 S","Sampurna-Shadava",No,"",Yes,""
"kokilapanchamam","Kokilapanchamam","Kokilapanchamam",39,"Jhalavarali",7,"Rishi (Sages)","S G1 R1 G1 P D1 N3 S'","S' N3 D1 P M2 G1 R1 S","Shadava-Sampurna",No,"",Yes,""
"varali","Varali","Varāli",39,"Jhalavarali",7,"Rishi (Sages)","S G1 R1 G1 M2 P D1 N3 S'","S' N3 D1 P M2 G1 R1 S","Sampurna",No,"",Yes,""
"nabhomani","Nabhomani","Nabhomani",40,"Navaneetam",7,"Rishi (Sages)","S G1 R1 G1 M2 P S'","S' N2 D2 P M2 G1 R1 S","Audava-Sampurna",No,"",Yes,""
"kumbhini","Kumbhini","Kumbhini",41,"Pavani",7,"Rishi (Sages)","S G1 R1 G1 M2 P N3 D2 N3 S'","S' N3 D2 P M2 G1 R1 S","Sampurna",No,"",Yes,""
"chandrajyothi","Chandrajyothi","Chandrajyothi",41,"Pavani",7,"Rishi (Sages)","S R1 G1 M2 P D2 S'","S' D2 P M2 G1 R1 S","Shadava",No,"",Yes,""
"prabhavali","Prabhavali","Prabhāvali",41,"Pavani",7,"Rishi (Sages)","S R1 M2 P D2 N3 S'","S' N3 D2 M2 P M2 R1 G1 R1 S","Shadava-Sampurna",No,"",Yes,""
"poornalalitha","Poornalalitha","Poornalalitha",41,"Pavani",7,"Rishi (Sages)","S R1 M2 G1 R1 M2 P N3 D2 N3 S'","S' N3 D2 P M2 G1 R1 S","Sampurna",No,"",Yes,""
"poornapanchamam-m41","Poornapanchamam","Poornapanchamam",41,"Pavani",7,"Rishi (Sages)","(See 15, 16) S R1 G1 M2 P D2","D2 P M2 G1 R1 S","Shadava",No,"",Yes,""
"ravi-kriya","Ravi Kriya","Ravi Kriyā",42,"Raghupriya",7,"Rishi (Sages)","S G1 R1 G1 M2 P D3 N3 S'","S' N3 P M2 G1 R1 S","Sampurna-Shadava",No,"",Yes,""
"gandharva","Gandharva","Gāndharva",42,"Raghupriya",7,"Rishi (Sages)","M2 P D3 N3 S R1 G1","R1 S N3 P M2 P","Sampurna-Audava",No,"",Yes,""
"gomathi","Gomathi","Gomathi",42,"Raghupriya",7,"Rishi (Sages)","S R1 G1 M2 P D3 N3","P M2 G1 R1 S","Sampurna-Audava",No,"",No,""
"raghuleela","Raghuleela","Raghuleela",42,"Raghupriya",7,"Rishi (Sages)","S M2 R1 P M2 G1 M2 P M2 R1 M2 P N3 S'","S' N3 D3 N3 P M2 G1 M2 R1 M2 G1 R1 S","Shadava-Sampurna",No,"",Yes,""
"geervani","Geervani","Geervāni",43,"Gavambodhi",8,"Vasu (Gods)","S R1 G2 M2 P D1 N1 S'","S' N1 D1 P M2 G2 R1 S","Sampurna",No,"",Yes,""
"kanchanabowli","Kanchanabowli","Kanchanabowli",43,"Gavambodhi",8,"Vasu (Gods)","S G2 M2 P D1 S'","S' N1 D1 P M1 G2 R1 S","Audava-Sampurna",No,"",Yes,""
"mahathi-m43","Mahathi","Mahathi",43,"Gavambodhi",8,"Vasu (Gods)","S G2 M2 P D1 N1 S'","S' N1 D1 P M2 G2 S","Shadava",No,"",Yes,""
"mechagandhari","Mechagandhari","Mechagāndhāri",43,"Gavambodhi",8,"Vasu (Gods)","S R3 G3 M1 P D2 N2 S'","S' N2 D2 N2 P M1 G3 M1 R3 S","Sampurna",No,"",Yes,""
"suvarnadeepakam","Suvarnadeepakam","Suvarnadeepakam",43,"Gavambodhi",8,"Vasu (Gods)","S R1 G2 M2 P D1 S'","S' D1 P M2 G2 R1 S","Shadava",No,"",Yes,""
"vijayabhooshavali","Vijayabhooshavali","Vijayabhooshāvali",43,"Gavambodhi",8,"Vasu (Gods)","S R1 G3 M2 P S'","S' N3 D3 P M2 G3 R1 S","Audava-Sampurna",No,"",Yes,""
"bhavani","Bhavani","Bhavāni",44,"Bhavapriya",8,"Vasu (Gods)","S R1 G2 M2 D1 N2 S","S N2 D1 M2 G2 R1 S","Shadava",No,"",Yes,""
"bhavani-m44","Bhavani","Bhavāni",44,"Bhavapriya",8,"Vasu (Gods)","S R1 G2 M2 P D1 P N2 S'","S' N2 D1 P M2 G2 R1 S","Sampurna",No,"",Yes,""
"kanchanavathi","Kanchanavathi","Kanchanāvathi",44,"Bhavapriya",8,"Vasu (Gods)","S R1 G2 M2 P N2 S'","S' N2 P M2 G2 R1 S","Shadava",No,"",Yes,""
"shivapanthuvarali","Shivapanthuvarali","Shivapanthuvarāli",45,"Subhapantuvarali",8,"Vasu (Gods)","S R1 G2 M2 P D1 N3 S'","S' N3 D1 P M2 G2 R1 S","Sampurna",No,"",Yes,""
"arunangi","Arunangi","Arunāngi",45,"Subhapantuvarali",8,"Vasu (Gods)","S R1 M2 P N3 D1 S'","S' N3 D1 M2 R1 G2 R1 S","Shadava",No,"",Yes,""
"bandhuvarali","Bandhuvarali","Bandhuvarāli",45,"Subhapantuvarali",8,"Vasu (Gods)","S M2 S N3 D1 P M2","D1 M2 G2 R1 S","Audava",No,"",Yes,""
"bhanudhanyasi","Bhanudhanyasi","Bhānudhanyāsi",45,"Subhapantuvarali",8,"Vasu (Gods)","S R1 G2 M2 N3 D1 N3","D1 P M2 G2 R1 S N3 S","Shadava-Sampurna",No,"",Yes,""
"bhanukeeravani","Bhanukeeravani","Bhānukeeravāni",45,"Subhapantuvarali",8,"Vasu (Gods)","S R1 G2 M2 P D1 N3 S'","S' N3 D1 M2 G2 R1 S","Sampurna-Shadava",No,"",Yes,""
"chayaranjani","Chayaranjani","Chāyaranjani",45,"Subhapantuvarali",8,"Vasu (Gods)","S G2 M2 P N3 S'","S' N3 D1 P M2 G2 S","Audava-Shadava",No,"",Yes,""
"dhowreyani","Dhowreyani","Dhowreyani",45,"Subhapantuvarali",8,"Vasu (Gods)","S R1 G2 M2 N3 S'","S' N3 D1 P M2 G2 R1 S","Audava-Sampurna",No,"",Yes,""
"hindusthani-todi","Hindusthani Todi","Hindusthāni Todi",45,"Subhapantuvarali",8,"Vasu (Gods)","N3 R1 G2 M2 D1 N3 S'","S' N3 D1 P M2 G2 R1 S","Shadava-Sampurna",No,"",Yes,""
"jalakesari","Jalakesari","Jālakesari",45,"Subhapantuvarali",8,"Vasu (Gods)","S R1 M2 P D1 N3 S'","S' D1 P M2 R1 S","Shadava-Audava",No,"",Yes,""
"kumudhachandrika","Kumudhachandrika","Kumudhachandrikā",45,"Subhapantuvarali",8,"Vasu (Gods)","S G2 M2 D1 S'","S' N3 D1 M2 G2 R1 S","Swarantara-Shadava",No,"",Yes,""
"mahanandhini","Mahanandhini","Mahānandhini",45,"Subhapantuvarali",8,"Vasu (Gods)","S M2 G2 M2 P D1 N3 S'","S' D1 N3 D1 P M2 G2 R1 S","Shadava-Sampurna",No,"",Yes,""
"multani","Multani","Multani",45,"Subhapantuvarali",8,"Vasu (Gods)","S G2 M2 P N3 S'","S' N3 D1 P M2 G2 R1 S","Audava-Sampurna",No,"",Yes,"Hindustani equivalent"
"parpathi","Parpathi","Parpathi",45,"Subhapantuvarali",8,"Vasu (Gods)","S G2 M2 P N3 S'","S' N3 P M2 G2 S","Audava",No,"",Yes,""
"shekharachandrika","Shekharachandrika","Shekharachandrikā",45,"Subhapantuvarali",8,"Vasu (Gods)","S R1 G2 M2 D1 N3 S'","S' N3 D1 M2 G2 R1 S","Shadava",No,"",Yes,""
"sthavarajam","Sthavarajam","Sthavarājam",46,"Shadvidhamargini",8,"Vasu (Gods)","S R1 M2 P D2 S'","S' N2 D2 M2 G2 S","Audava",No,"",Yes,""
"ganahemavati","Ganahemavati","Ganahemāvati",46,"Shadvidhamargini",8,"Vasu (Gods)","S G2 M2 P N2 S'","S' N2 D2 P M2 G2 S","Audava-Shadava",No,"",Yes,""
"indhudhanyasi","Indhudhanyasi","Indhudhanyāsi",46,"Shadvidhamargini",8,"Vasu (Gods)","S G2 M2 D2 N2 S'","S' N2 D2 P D2 M2 G2 R1 S","Audava-Sampurna",No,"",Yes,""
"shreekanti","Shreekanti","Shreekānti",46,"Shadvidhamargini",8,"Vasu (Gods)","S G2 M2 P D2 N2 S'","S' N2 D2 P M2 G2 S","Shadava",No,"",Yes,""
"teevravahini","Teevravahini","Teevravāhini",46,"Shadvidhamargini",8,"Vasu (Gods)","S R1 G2 M2 P D2 P N2 S'","S' N2 D2 P M2 G2 R1 G2 M2 R1 S","Sampurna",No,"",Yes,""
"vaishalini","Vaishalini","Vaishalini",46,"Shadvidhamargini",8,"Vasu (Gods)","R1 G2 M2 D2 N2","N2 D2 M2 G2 R1","Audava",No,"",No,""
"sowveeram","Sowveeram","Sowveeram",47,"Suvarnangi",8,"Vasu (Gods)","S R1 G2 M2 P D2 N3 S'","S' N3 D2 P M2 G2 R1 S","Sampurna",No,"",Yes,""
"abhiru","Abhiru","Abhiru",47,"Suvarnangi",8,"Vasu (Gods)","S R1 G2 R1 M2 P N3 S'","S' D2 P M2 G2 R1 G2 S","Shadava",No,"",Yes,""
"rathika","Rathika","Rathikā",47,"Suvarnangi",8,"Vasu (Gods)","S M2 G2 M2 P D2 N3 S'","S' N3 D2 P M2 G2 R1 S","Shadava-Sampurna",No,"",Yes,""
"vijayashree","Vijayashree","Vijayashree",47,"Suvarnangi",8,"Vasu (Gods)","S R1 G2 M2 P N2 S'","S' N2 P M2 G2 R1 S","Shadava",No,"",Yes,""
"jeevanthika","Jeevanthika","Jeevanthikā",48,"Divyamani",8,"Vasu (Gods)","S M2 P D3 N3 S'","S' N3 P M2 G2 S","Audava",No,"",Yes,""
"deshamukhari","Deshamukhari","Deshamukhāri",48,"Divyamani",8,"Vasu (Gods)","S R1 G2 M2 P D3 N3 D3 S'","S' D3 N3 D3 P M2 G2 R1 S","Sampurna",No,"",Yes,""
"dundubi","Dundubi","Dundubi",48,"Divyamani",8,"Vasu (Gods)","S R1 G2 M2 P D3 N3 S'","S' N3 P M2 G2 R1 S","Sampurna-Shadava",No,"",Yes,""
"jeevanthini","Jeevanthini","Jeevanthini",48,"Divyamani",8,"Vasu (Gods)","S M2 P D3 N3 S'","S' N3 P M2 G2 S","Audava",No,"",Yes,""
"suddha-gandhari","Suddha Gandhari","Suddha Gāndhāri",48,"Divyamani",8,"Vasu (Gods)","S R1 G2 M2 N3 S'","S' N3 D3 N3 S N3 P M2 R1 S","Audava-Shadava",No,"",Yes,""
"dhavalangam","Dhavalangam","Dhavalāngam",49,"Dhavalambari",9,"Brahma","S R1 G3 M2 P D1 S'","S' N1 D1 P M2 G3 R1 S","Shadava-Sampurna",No,"",Yes,""
"abhiramam","Abhiramam","Abhirāmam",49,"Dhavalambari",9,"Brahma","S R1 M2 P D1 N1 S'","S' N1 D1 P M2 G2 R1 S","Shadava-Sampurna",No,"",Yes,""
"bhinnapauarali","Bhinnapauarali","Bhinnapauarali",49,"Dhavalambari",9,"Brahma","S M2 P D1 N1 D1 S'","S' N1 D1 P M2 G3 S","Audava-Shadava",No,"",Yes,""
"dharmini","Dharmini","Dharmini",49,"Dhavalambari",9,"Brahma","S R1 G3 M2 D1 N1 S'","S' N1 D1 M2 G3 R1 S","Shadava",No,"",Yes,""
"sudharmini","Sudharmini","Sudharmini",49,"Dhavalambari",9,"Brahma","S R1 M2 P D1 N1 S'","S' N1 D1 M1 G3 R2 S","Shadava",No,"",Yes,""
"namadeshi","Namadeshi","Nāmadeshi",50,"Namanarayani",9,"Brahma","S R1 G3 M2 P D1 N2 S'","S' N2 D1 P M2 G3 R1 S","Sampurna",No,"",Yes,""
"narmada","Narmada","Narmada",50,"Namanarayani",9,"Brahma","S R1 G3 M2 D1 N2 S'","S' N2 D1 M2 P M2 G3 R1 S","Shadava-Sampurna",No,"",Yes,""
"neelanjana","Neelanjana","Neelanjana",50,"Namanarayani",9,"Brahma","S R1 G3 P N2 S'","S' N2 P M2 G3 R1 S","Audava-Shadava",No,"",Yes,"Raga created by Mahesh Mahadev"
"swaramanjari","Swaramanjari","Swaramanjari",50,"Namanarayani",9,"Brahma","S G3 M2 P D1 S'","S' N2 D1 P M2 G3 S","Audava-Shadava",No,"",Yes,""
"kashiramakriya","Kashiramakriya","Kāshirāmakriyā",51,"Kamavardhini",9,"Brahma","S G3 R1 G3 M2 P D1 N3 S'","S' N3 D1 P M1 G3 R1 S","Sampurna",No,"",Yes,""
"mandari","Mandari","Mandāri",51,"Kamavardhini",9,"Brahma","S R1 G3 M2 P N3 S'","S' N3 P M2 G3 R1 S","Shadava",No,"",Yes,""
"adhi-panchama","adhi Panchama","ādhi Panchama",51,"Kamavardhini",9,"Brahma","S R1 P D1 N3 S'","S' N3 D1 N3 P M2 G3 R1 S","Audava-Sampurna",No,"",Yes,""
"basant-vasant","Basant /Vasant","Basant /Vasant",51,"Kamavardhini",9,"Brahma","S G3 M2 D1 N3 S'","S' N3 D1 P M2 G3 M2 N3 D1 M2 G3 R1 S","Audava-Sampurna",Yes,"M1",Yes,"Hindustani equivalent"
"basant-bahar-m51","Basant Bahar","Basant Bahār",51,"Kamavardhini",9,"Brahma","S M2 P G3 M2 N3 D1 N3 S","R2 S N2 D2 P M1 G2 M1 G2 R2 S","Shadava-Sampurna",No,"",Yes,"Hindustani equivalent"
"bhogavasantha","Bhogavasantha","Bhogavasantha",51,"Kamavardhini",9,"Brahma","S R1 G3 M2 D1 N3 S'","S' N3 D1 M2 G3 R1 S","Shadava",No,"",Yes,""
"deepakam","Deepakam","Deepakam",51,"Kamavardhini",9,"Brahma","S R2 M2 P D1 P S'","S' N3 D1 N3 P M2 G3 R1 S","Audava-Sampurna",No,"",Yes,""
"gamakapriya","Gamakapriya","Gamakapriyā",51,"Kamavardhini",9,"Brahma","S R1 G3 M2 P N3 D1 S'","S' D1 P M2 G3 R1 S","Sampurna-Shadava",No,"",Yes,""
"gamanapriya","Gamanapriya","Gamanapriyā",51,"Kamavardhini",9,"Brahma","S R1 G3 M2 P N3 D1 S'","S' D1 P M2 G3 R1 S","Sampurna-Shadava",No,"",Yes,""
"hamsanarayani","Hamsanarayani","Hamsanārāyani",51,"Kamavardhini",9,"Brahma","S R1 G3 M2 P S'","S' N3 P M2 G3 R1 S","Audava-Shadava",No,"",Yes,""
"indumathi","Indumathi","Indumathi",51,"Kamavardhini",9,"Brahma","S G3 M2 D1 N3 S'","S' N3 D1 P M2 G3 S","Audava-Shadava",No,"",Yes,""
"kamalaptapriya","Kamalaptapriya","Kamalāptapriyā",51,"Kamavardhini",9,"Brahma","S R1 G3 M2 P D1 S'","S' D1 P M2 G3 R1 S","Shadava",No,"",Yes,""
"kumudhakriya","Kumudhakriya","Kumudhakriyā",51,"Kamavardhini",9,"Brahma","S R1 G3 M2 D1 S'","S' N3 D1 M2 G3 R1 S","Audava-Shadava",No,"",Yes,""
"maruthi","Maruthi","Māruthi",51,"Kamavardhini",9,"Brahma","S R1 M2 P N3 S'","S' N3 D1 P M2 G3 R1 S","Audava-Sampurna",No,"",Yes,""
"ponni","Ponni","Ponni",51,"Kamavardhini",9,"Brahma","S G3 M2 P N3 S'","S' N3 P M2 G3 R1 S","Audava-Shadava",No,"",Yes,""
"prathapa","Prathapa","Prathāpa",51,"Kamavardhini",9,"Brahma","S G3 M2 D1 N3 S'","S' N3 D1 P M2 G3 R1 S","Audava-Sampurna",No,"",Yes,""
"puriya-dhanashree","Puriya Dhanashree","Puriya Dhanashree",51,"Kamavardhini",9,"Brahma","N3 R1 G3 M2 P D1 P N3 S","R1 N3 D1 P M2 G3 M2 R1 G3 R1 S","Sampurna",No,"",Yes,"Hindustani equivalent"
"tandavapriya","Tandavapriya","Tāndavapriyā",51,"Kamavardhini",9,"Brahma","S R1 G3 M2 P S'","S' P M2 G3 R1 S","Audava",No,"",Yes,""
"ramamanohari","Ramamanohari","Ramāmanohari",52,"Ramapriya",9,"Brahma","S R1 G3 M2 P D2 S'","S' N2 D2 P M2 G3 R1 S","Shadava-Sampurna",No,"",Yes,""
"chintaramani","Chintaramani","Chintaramani",52,"Ramapriya",9,"Brahma","S G3 M2 P D2 N2 S'","S' D2 P M2 G3 R1 S","Shadava",No,"",Yes,""
"hamsagamini","Hamsagamini","Hamsagamini",52,"Ramapriya",9,"Brahma","S G3 M2 P D2 N2 S'","S' N2 D2 P M2 D2 P M2 G3 R1 S","Shadava-Sampurna",No,"",Yes,""
"lokaranjani","Lokaranjani","Lokaranjani",52,"Ramapriya",9,"Brahma","S G3 M2 P M2 D2 N2 S'","S' N2 D2 N2 P M2 G3 R1 S","Shadava-Sampurna",No,"",Yes,""
"meghashyamala","Meghashyamala","Meghashyāmala",52,"Ramapriya",9,"Brahma","S G3 M2 P D2 N2 D2 P S'","S' N2 D2 P M2 G3 R1 S","Shadava-Sampurna",No,"",Yes,""
"namoveenapaani","Namoveenapaani","Namoveenapaani",52,"Ramapriya",9,"Brahma","S G3 M2 D2 N2 S'","S' N2 D2 M2 G3 R1 S","Audava-Shadava",No,"",Yes,"creation by Siri Girish"
"patalambari","Patalambari","Patalāmbari",52,"Ramapriya",9,"Brahma","S R1 G3 M2 D2 S'","S' D2 M2 G3 R1 S","Audava",No,"",Yes,""
"raktimargini","Raktimargini","Raktimārgini",52,"Ramapriya",9,"Brahma","S P M2 D2 N2 S'","S' N2 D2 P M2 P G3 R1 S","Audava-Sampurna",No,"",Yes,""
"rasavinodini","Rasavinodini","Rasavinodini",52,"Ramapriya",9,"Brahma","S G3 M2 P D2 N2 S'","S' N2 D2 P M2 G3 S","Shadava",No,"",Yes,""
